SAMPLE_ID,true_value,predicted_value,residual,abs_residual,std_residual
S98_01785,0.28,0.30919276364136694,-0.029192763641366914,0.029192763641366914,-0.48013606485228427
S98_01786,0.19,0.07161270444110315,0.11838729555889685,0.11838729555889685,1.9471267234735672
S98_01788,0.27,0.18019758622498916,0.08980241377501086,0.08980241377501086,1.4769885473628752
S98_01789,0.12,0.20436569177250402,-0.08436569177250403,0.08436569177250403,-1.387570281245703
S98_01791,0.12,0.18452968259401192,-0.06452968259401193,0.06452968259401193,-1.0613256164261222
S98_01792,0.66,0.43044593572622686,0.22955406427377317,0.22955406427377317,3.775496778765993
S98_01793,0.16,0.18660970903260943,-0.026609709032609424,0.026609709032609424,-0.43765232845844876
S98_01794,0.14,0.0465748225711035,0.09342517742889651,0.09342517742889651,1.5365724739151987
S98_01795,0.08,0.1150083601440048,-0.035008360144004796,0.035008360144004796,-0.5757857146712733
S98_01796,0.06,0.06359712564588219,-0.0035971256458821876,0.0035971256458821876,-0.059162255879938175
S98_01797,0.02,0.04893234987355173,-0.02893234987355173,0.02893234987355173,-0.47585301569502797
S98_01798,0.39,0.3179626254971897,0.07203737450281034,0.07203737450281034,1.184805314802669
S98_01799,0.06,0.060784188888776125,-0.0007841888887761272,0.0007841888887761272,-0.012897626678425209
S98_01800,0.15,0.19147280717927015,-0.041472807179270155,0.041472807179270155,-0.6821070687948048
S98_01801,0.09,0.0533737929209892,0.0366262070790108,0.0366262070790108,0.6023945918043168
S98_01802,0.2,0.16847458339047358,0.03152541660952643,0.03152541660952643,0.5185014224647803
S98_01803,0.08,0.07375788309861253,0.0062421169013874706,0.0062421169013874706,0.10266466999147672
S98_01804,0.07,0.07383261810775102,-0.0038326181077510124,0.0038326181077510124,-0.06303542202936889
S98_01805,0.01,0.04724911623657413,-0.03724911623657413,0.03724911623657413,-0.6126396359305639
S98_01806,0.05,0.12317266844511583,-0.07317266844511583,0.07317266844511583,-1.2034775985441364
S98_01807,0.16,0.05074019917847336,0.10925980082152664,0.10925980082152664,1.7970059792028592
S98_01808,0.11,0.1700449447765997,-0.060044944776599704,0.060044944776599704,-0.9875647216372758
S98_01809,0.08,0.05147305446192234,0.028526945538077664,0.028526945538077664,0.46918529335466175
S98_01810,0.01,0.06973271280622344,-0.059732712806223436,0.059732712806223436,-0.9824294137431954
S98_01811,0.05,0.049259734270697214,0.0007402657293027887,0.0007402657293027887,0.012175218440394455
S98_01813,0.01,0.048483379187882064,-0.03848337918788206,0.03848337918788206,-0.6329396720530162
S98_01815,0.03,-0.016363405326311156,0.046363405326311155,0.046363405326311155,0.7625431857017613
S98_01817,0.01,0.045197448327686046,-0.035197448327686044,0.035197448327686044,-0.578895665395299
S98_01818,0.01,0.02472605694488504,-0.014726056944885041,0.014726056944885041,-0.2422008111040455
S98_01819,0.02,0.05532195764911943,-0.035321957649119426,0.035321957649119426,-0.5809434816406147
S98_01820,0.03,0.022124702448131153,0.007875297551868846,0.007875297551868846,0.12952574215128626
S98_01821,0.03,0.029963684774267918,3.63152257320809e-05,3.63152257320809e-05,0.0005972798530289237
S98_01822,0.11,0.03715833755046345,0.07284166244953655,0.07284166244953655,1.19803351253322
S98_01823,0.06,0.06959363183795811,-0.009593631837958111,0.009593631837958111,-0.15778734397697172
S98_01824,0.06,0.06639191933985271,-0.006391919339852711,0.006391919339852711,-0.1051284844556906
S98_01825,0.03,0.03850506351512434,-0.00850506351512434,0.00850506351512434,-0.13988356079052364
S98_01826,0.02,0.03541568216845817,-0.015415682168458168,0.015415682168458168,-0.2535431404955691
S98_01827,0.07,0.043219157635304095,0.02678084236469591,0.02678084236469591,0.4404669740892116
S98_01828,0.09,0.06082848978379641,0.029171510216203587,0.029171510216203587,0.47978650781657795
S98_01834,0.01,0.046588155448029814,-0.03658815544802981,0.03658815544802981,-0.6017687531346769
