SAMPLE_ID,true_value,predicted_value,residual,abs_residual,std_residual
S98_01785,1.1,2.864482990989785,-1.764482990989785,1.764482990989785,-0.9794035289892637
S98_01786,1.0,1.0322447691408325,-0.03224476914083252,0.03224476914083252,-0.017897956993204196
S98_01788,1.4,1.1824432906072158,0.21755670939278415,0.21755670939278415,0.1207582107748513
S98_01789,0.8,0.9916046963401771,-0.19160469634017707,0.19160469634017707,-0.10635314521293228
S98_01791,1.0,1.2164776455518633,-0.21647764555186333,0.21647764555186333,-0.12015925972845456
S98_01792,1.7,3.1184191033054693,-1.4184191033054694,1.4184191033054694,-0.7873154246637939
S98_01793,0.9,1.0518647544025383,-0.15186475440253833,0.15186475440253833,-0.08429487682819774
S98_01794,1.3,1.7724969656762457,-0.47249696567624566,0.47249696567624566,-0.2622667364792484
S98_01795,3.3,1.4158557205791968,1.884144279420803,1.884144279420803,1.0458233747861336
S98_01796,0.7,1.1130986791415118,-0.4130986791415119,0.4130986791415119,-0.22929680038743006
S98_01797,0.8,1.5485695142098352,-0.7485695142098352,0.7485695142098352,-0.4155050672943187
S98_01798,1.2,2.782609551627283,-1.582609551627283,1.582609551627283,-0.8784518682191426
S98_01799,0.5,0.8376562379335226,-0.3376562379335226,0.3376562379335226,-0.18742130851135252
S98_01800,2.4,1.1357606709571801,1.2642393290428198,1.2642393290428198,0.7017355603167301
S98_01801,1.3,1.1273152406552471,0.17268475934475291,0.17268475934475291,0.09585134204668105
S98_01802,3.0,2.3868717701732614,0.6131282298267386,0.6131282298267386,0.3403262910901727
S98_01803,2.0,1.279161453641379,0.7208385463586211,0.7208385463586211,0.4001125654031378
S98_01804,1.5,2.910339103838237,-1.4103391038382371,1.4103391038382371,-0.7828304961987144
S98_01805,1.1,1.8358600645273109,-0.7358600645273108,0.7358600645273108,-0.4084504910053212
S98_01806,1.5,1.8284637574083067,-0.3284637574083067,0.3284637574083067,-0.1823188802575606
S98_01807,1.6,1.495861810208634,0.10413818979136602,0.10413818979136602,0.0578035102095286
S98_01808,7.5,3.3606165862401847,4.139383413759815,4.139383413759815,2.2976286787563933
S98_01809,1.1,1.0800272981582766,0.019972701841723506,0.019972701841723506,0.011086156549608595
S98_01810,2.1,0.7411604793664306,1.3588395206335695,1.3588395206335695,0.7542448573517034
S98_01811,8.0,0.561154931398163,7.438845068601837,7.438845068601837,4.129045816251339
S98_01813,2.1,2.5947900893715867,-0.49479008937158664,0.49479008937158664,-0.2746408790076291
S98_01815,3.4,4.971888045718982,-1.5718880457189823,1.5718880457189823,-0.8725007308172579
S98_01817,1.5,2.0914075346511916,-0.5914075346511916,0.5914075346511916,-0.3282698838503967
S98_01818,4.5,4.070710462411563,0.4292895375884367,0.4292895375884367,0.23828378636647235
S98_01819,3.5,3.6410411797315168,-0.14104117973151675,0.14104117973151675,-0.07828708458355223
S98_01820,5.5,4.425183173763298,1.0748168262367024,1.0748168262367024,0.5965936753194584
S98_01821,4.7,4.821351047455207,-0.12135104745520664,0.12135104745520664,-0.06735777263429628
S98_01822,3.9,3.0247064367818415,0.8752935632181584,0.8752935632181584,0.4858452074035405
S98_01823,1.0,1.3258488185000634,-0.3258488185000634,0.3258488185000634,-0.18086741804007095
S98_01824,1.0,1.2546439987784264,-0.25464399877842636,0.25464399877842636,-0.14134408340180615
S98_01825,3.1,3.761803199289224,-0.6618031992892237,0.6618031992892237,-0.36734408446559125
S98_01826,8.9,2.9695364528338017,5.930463547166198,5.930463547166198,3.2917953623223037
S98_01827,3.0,3.443360420270327,-0.4433604202703272,0.4433604202703272,-0.24609404706323712
S98_01828,3.5,3.7197291854498555,-0.21972918544985554,0.21972918544985554,-0.12196407715486487
S98_01834,2.2,2.311633923064486,-0.11163392306448561,0.11163392306448561,-0.06196413270209082
