track,target,model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
Track 1 (Heavy Metals),As_num,SVR_RBF,-0.2288005029997179,0.29759710701288233,5.64542752785095,4.021471171862139,2.6985777128324053,1.7775421017561432
Track 1 (Heavy Metals),As_num,GradientBoosting,-6.857458095037518,16.354459396233743,6.483208294101275,3.3542346947887554,3.7666069305722294,1.7811570537672992
Track 1 (Heavy Metals),As_num,Lasso,-7.331295835004702,24.13044409847293,5.932219466299963,3.200934871885038,3.9354468312565545,1.4233527182100827
Track 1 (Heavy Metals),As_num,ElasticNet,-7.615738629499501,24.884839257084927,5.908150925038903,3.1058488925182277,3.9565770934066222,1.3882967397723938
Track 1 (Heavy Metals),As_num,Ridge,-11.515311107345042,37.304892132849496,6.374245411414332,2.841371770751081,4.459480288263177,1.4261133651489237
Track 1 (Heavy Metals),As_num,ExtraTrees,-11.740997793173646,33.45774491188417,6.819928780041597,2.801160167213767,4.548011717168653,1.2881840380174088
Track 1 (Heavy Metals),As_num,RandomForest,-14.268759930010372,45.39489721906114,6.153433654716411,2.8963364584474482,3.9696239281331542,1.4978670562217349
Track 1 (Heavy Metals),Fe_num,Lasso,-9.255616621319882,31.515159202389132,2.931714545403305,1.9641053148409129,1.9031378125000002,0.6215153479902971
Track 1 (Heavy Metals),Fe_num,ElasticNet,-9.989893105460784,34.530658615065526,2.949073798695642,1.9666059002150806,1.9249644430189647,0.648069168992978
Track 1 (Heavy Metals),Fe_num,SVR_RBF,-10.802469827138882,46.28871904077429,2.955157709489348,2.380490111689858,1.5879203418083672,1.0548205567166697
Track 1 (Heavy Metals),Fe_num,Ridge,-18.766355275933662,58.86004578378066,3.296270598254266,1.8748773432416541,2.2905574560516864,0.7089957545361164
Track 1 (Heavy Metals),Fe_num,RandomForest,-39.72539939314929,130.58852566678482,3.800121262943688,1.7308258927777527,2.514456284651859,0.7132809666423806
Track 1 (Heavy Metals),Fe_num,GradientBoosting,-58.33005008941596,175.58945380332932,4.135949701234006,1.7197128696883104,2.5143239995170106,0.8021142202725028
Track 1 (Heavy Metals),Fe_num,ExtraTrees,-71.68565598717946,305.36617186429714,3.4819386751605688,1.8758391050770071,2.3252730443308405,0.7518840557993669
Track 1 (Heavy Metals),Mn_num,Lasso,-1.0343596027837036,1.6325696832491716,0.9767068948982378,0.5648969606564312,0.7180403272665806,0.24013093693162235
Track 1 (Heavy Metals),Mn_num,ElasticNet,-1.0536072549478646,1.6443795193501887,0.9801869059388265,0.5624587933083458,0.7224809837695086,0.23916563282064776
Track 1 (Heavy Metals),Mn_num,SVR_RBF,-1.0813816171239927,2.1054265723881804,1.009548991285099,0.6033211248185136,0.6839095768161316,0.2959702528360483
Track 1 (Heavy Metals),Mn_num,Ridge,-2.078825740176408,3.5730063923007593,1.0293257161551985,0.5430472693841426,0.7842844910417053,0.24134769028517833
Track 1 (Heavy Metals),Mn_num,ExtraTrees,-2.4046798317312015,4.005627041845081,1.1075578646006137,0.5774097782483425,0.8462996059477487,0.31007110623025386
Track 1 (Heavy Metals),Mn_num,RandomForest,-2.636810171934715,4.988295134919669,1.0991803678106264,0.5630036277474092,0.7785362859885038,0.28605209347314
Track 1 (Heavy Metals),Mn_num,GradientBoosting,-3.7558173544973465,8.130897415753704,1.1965857348534543,0.6573788403076272,0.8123448035281094,0.3605149025933156
Track 1 (Heavy Metals),Ni_num,SVR_RBF,-0.19491450566970855,1.1143601449910259,1.7067691290720939,0.9152661548337746,1.1938965231399983,0.5698716963781423
Track 1 (Heavy Metals),Ni_num,ExtraTrees,-0.6193800655404758,2.3648759714332614,1.7447671967838252,0.7633515063885385,1.2138887112720709,0.48675170377088944
Track 1 (Heavy Metals),Ni_num,Ridge,-0.8695381021792967,2.841478871044313,1.8674303675383186,0.7675598914722022,1.2953506690132273,0.4667149444619566
Track 1 (Heavy Metals),Ni_num,RandomForest,-1.09701742035248,4.5015110221001855,1.7810957897420778,0.7137212084056527,1.311329459487838,0.46640826917144756
Track 1 (Heavy Metals),Ni_num,ElasticNet,-1.253282783002527,5.957852274251579,1.736682940091801,0.6789942944085352,1.250157860714041,0.3464434970938188
Track 1 (Heavy Metals),Ni_num,GradientBoosting,-1.5095339175971032,4.628055030277881,1.893093311702058,0.81654047519881,1.3701618339040273,0.5859224452299397
Track 1 (Heavy Metals),Ni_num,Lasso,-1.6682436412968098,7.062418278442407,1.8787167482607672,0.695783301748108,1.4546212859008865,0.44254256860863406
Track 1 (Heavy Metals),Pb_num,SVR_RBF,-0.3281949708709746,0.9765964935453284,0.9246638393799188,0.7776831998404306,0.5552575012220341,0.3564810565665142
Track 1 (Heavy Metals),Pb_num,ElasticNet,-3.8719218248566007,12.156627559038025,1.033668905827094,0.7045568772995224,0.6959560970706345,0.34368108938135983
Track 1 (Heavy Metals),Pb_num,Lasso,-4.848751488466871,15.197098386262219,1.0479546459596165,0.7352607505508485,0.7065761906904703,0.35096629479697666
Track 1 (Heavy Metals),Pb_num,Ridge,-5.0949138740555995,8.85844861411593,1.1571624204435733,0.6275833798744419,0.7279131937170129,0.3040801617104799
Track 1 (Heavy Metals),Pb_num,RandomForest,-5.702942504071765,9.927978902789988,1.2402443246140988,0.632563103733671,0.80181966452512,0.30988344066215384
Track 1 (Heavy Metals),Pb_num,ExtraTrees,-6.7341800699132985,15.600207174005202,1.1932263230007816,0.7327859979436263,0.7165821666894945,0.35861870723082806
Track 1 (Heavy Metals),Pb_num,GradientBoosting,-8.975394847541969,16.49374931049275,1.3896985947272134,0.7005548223652304,0.835941986921442,0.3705867648728001
Track 1 (Heavy Metals),Zn_num,SVR_RBF,-0.28966803832308563,0.28547661522817713,20.158389655691973,11.256214176934666,12.132554468588271,6.032739017418887
Track 1 (Heavy Metals),Zn_num,ExtraTrees,-1.1104890488266232,2.09717770322022,21.01367856406728,9.974688487370768,14.359626333410352,5.63219272695497
Track 1 (Heavy Metals),Zn_num,RandomForest,-2.4377414613382418,4.409886444116488,23.05852263446126,7.552744714630927,16.51279569061826,3.9635650694516484
Track 1 (Heavy Metals),Zn_num,GradientBoosting,-2.4554093432770387,4.891655627974627,22.4609874255602,8.15389145807653,15.391631675874073,4.425449137709518
Track 1 (Heavy Metals),Zn_num,ElasticNet,-2.937741323468284,6.412765197543993,22.9808263390218,8.284264673922369,16.54098305773867,4.362190829913278
Track 1 (Heavy Metals),Zn_num,Ridge,-3.3664116919686995,6.950237843997806,23.727266928080752,8.33029406633018,17.282579491410853,4.710863911816664
Track 1 (Heavy Metals),Zn_num,Lasso,-3.4429299672056275,5.7216492679736275,25.1016437369668,8.064352236261696,18.228944910585778,4.539750128234659
Track 2 (Risk Indices),HEI,SVR_RBF,-0.9800925848963753,2.695951748741729,0.5821682910025121,0.3826998615946781,0.3250346172310335,0.1722444299157026
Track 2 (Risk Indices),HEI,Lasso,-5.604673977966043,16.343691700476906,0.6076103120172729,0.3198994844886783,0.417188539165628,0.1409136426713552
Track 2 (Risk Indices),HEI,ElasticNet,-5.623715171370483,16.340881255474116,0.6096543293918648,0.3220503945980997,0.4141179155296306,0.14657208824463633
Track 2 (Risk Indices),HEI,GradientBoosting,-8.560787819880238,20.70501733117656,0.6680812702419456,0.32703936487246493,0.41862441345783824,0.18029625401883748
Track 2 (Risk Indices),HEI,ExtraTrees,-9.259438770661573,22.849012705288235,0.6985107075232196,0.27816673493731886,0.49163306505376697,0.1362778980002318
Track 2 (Risk Indices),HEI,RandomForest,-11.057035710671432,27.60517299362628,0.644344063117604,0.27101380866977365,0.4359915161061993,0.13931442653382795
Track 2 (Risk Indices),HEI,Ridge,-11.90704069181262,33.556482630913905,0.6762742717164179,0.27671537352619907,0.49435990657275464,0.13498184443400024
Track 2 (Risk Indices),HPI,SVR_RBF,-0.8525976442074484,1.9877903370104526,26.074295225345764,17.078367250864407,13.994068060925606,7.813414796077919
Track 2 (Risk Indices),HPI,ElasticNet,-9.803288080925116,29.943676045734325,27.277094856095122,12.60191697877588,19.257663727537487,5.863270615287104
Track 2 (Risk Indices),HPI,GradientBoosting,-10.784598158999307,27.215462508751454,29.657304329153106,14.337962016966342,18.471292514461158,8.179002532761425
Track 2 (Risk Indices),HPI,ExtraTrees,-11.527316003295384,28.298095993331547,30.689060988889693,11.511646942258444,21.732599547977884,5.7017616299365415
Track 2 (Risk Indices),HPI,RandomForest,-13.266931217582663,36.46924908644838,28.127730364482638,12.077762451732191,19.15226750263254,6.3958891505422715
Track 2 (Risk Indices),HPI,Ridge,-14.205052584139958,43.248432394860245,29.285030564895838,11.890600557321712,21.39355583191694,5.937584151387363
Track 2 (Risk Indices),HPI,Lasso,-18.02065846727689,50.62507487878884,32.443060348481076,13.451056834358212,24.074874848199897,8.178846812239826
Track 2 (Risk Indices),WQI,ElasticNet,0.06991860675201599,0.2886287933757691,11.556511368037638,4.747939614779153,8.48043891577843,2.5823469289446526
Track 2 (Risk Indices),WQI,SVR_RBF,-0.03847338261238338,0.5437874330052327,12.338435280075972,6.082813968016437,8.033649872803025,3.300460570551798
Track 2 (Risk Indices),WQI,ExtraTrees,-0.06843463904489008,0.5150798393659808,12.168448784496281,4.807068496789508,9.076190186338424,2.872524609849613
Track 2 (Risk Indices),WQI,Ridge,-0.07222361098220566,0.5170940702788142,11.85641905529329,4.640831819971683,8.859371547323846,2.426629089090206
Track 2 (Risk Indices),WQI,Lasso,-0.10026013962506511,0.5518842574544127,12.168643802115046,4.912534904943415,9.08241421118945,2.7408603492897043
Track 2 (Risk Indices),WQI,RandomForest,-0.17128980598161017,0.5966463845472071,12.30148977868535,4.425586254179197,9.343580218290189,2.5822353749623237
Track 2 (Risk Indices),WQI,GradientBoosting,-0.34632449844973595,0.8183152455118313,12.757032979790933,4.35288442961493,9.687441846502981,2.5733733166383774
