WELL_TYPE,WELL_DEPTH,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_ID,Ca,Mg,Na,K,P,Cl,HCO3,SO4,NH4-N,NO2-N,NO3-N,Pb,Ni,Zn,As,Cd,Cr,Cu,Fe,Mn,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Fe_num,Mn_num,As_num,Pb_num,Ni_num,Zn_num,Cd_num,Cr_num,Cu_num,TDS_calc,Ca_meq,Mg_meq,Na_meq,K_meq,Cl_meq,HCO3_meq,SO4_meq,NO3_meq,Cat_sum,An_sum,CBE_pct,pct_Ca,pct_Mg,pct_Na_K,pct_HCO3,pct_Cl,pct_SO4_NO3,Facies,Gibbs_Cation,Gibbs_Anion,Gibbs_Mechanism,Ratio_Na_Cl,Ratio_Ca_Mg,Ratio_CaMg_HCO3SO4,CAI_1,CAI_2,Ion_Exchange_Process
HTW,18,Nilphamari,Nilphamari Sadar,Nilphamari,Nilphamari,57364,S98_01797,13.8,4.31,25.4,2.7,< 0.2,32.9,46,4.3,0.37,0.004,< 0.2,0.33,0.8,3,1.9,0.02,< 0.5,< 1,0.837,1.48,13.8,4.31,25.4,2.7,32.9,46.0,4.3,0.1,0.837,1.48,1.9,0.33,0.8,3.0,0.02,0.25,0.5,106.50999999999999,0.6886571186186935,0.3546595350750874,1.104828186167899,0.06905724077957953,0.927989168758638,0.7539006162318082,0.08952737872163231,0.00713928749910759,2.2172020806412593,1.7785564512111862,10.977781213088363,31.059736260914928,15.995814642773235,52.94444909631184,42.388343407284395,52.17653722077154,5.435119371944055,Na-Cl,0.6302596575535637,0.5517538527436323,Rock-Water Interaction Dominance,1.1905615101583749,1.9417414464068847,1.2369955229567342,-0.26497750886227855,-0.2890967748957105,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,,Lalmonirhat,Hatibandha,Barakhta,Barakhta,55233,S98_01798,16.4,2.67,14,13.6,< 0.2,33.4,37,6.9,< 0.02,0.015,8.3,7.58,1.2,12,< 0.5,0.39,2.6,1,0.271,0.212,16.4,2.67,14.0,13.6,33.4,37.0,6.9,8.3,0.271,0.212,0.25,7.58,1.2,12.0,0.39,2.6,1.0,113.77,0.8184041119816357,0.21970787903723515,0.6089604175728578,0.3478438794823265,0.9420923476151523,0.6063983217516717,0.14366021236727047,0.59256086242593,1.994916288074055,2.2847117441600244,6.771510372005124,41.024483928182505,11.013388398835872,47.96212767298163,26.54156802501203,41.234626207146015,32.22380576784195,Mixed-Cation-Mixed-Anion,0.5389813906832046,0.6083939453121618,Rock-Water Interaction Dominance,0.646391427670974,3.724964783092444,1.3840413031741465,-0.015616249805312966,-0.010957647027811478,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,27,Nilphamari,Jaldhaka,Jaldhaka,Jaldhaka,57336,S98_01799,8.09,1.01,6.2,2.4,< 0.2,3.1,44,1.6,< 0.02,< 0.004,< 0.2,0.35,0.5,11,< 0.5,0.06,< 0.5,< 1,0.018,0.222,8.09,1.01,6.2,2.4,3.1,44.0,1.6,0.1,0.018,0.222,0.25,0.35,0.5,11.0,0.06,0.25,0.5,44.5,0.4037127601177703,0.08311047109648222,0.2696824706394085,0.061384214026292905,0.0874397089103884,0.7211223285695556,0.0333125130127004,0.00713928749910759,0.8178899158799539,0.8490138379917521,1.8671697174781052,49.36028092282109,10.161571806037623,40.478147271141296,84.93646349455155,10.298973349741543,4.764563155706888,Mixed-Cation-HCO3,0.4505660671594613,0.10814223876118756,Rock-Water Interaction Dominance,3.08421052631579,4.857543878545745,0.6452820102969412,-2.7862281198235848,-0.3198992277339884,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Rangpur,Rangpur Sadar,Rangipur,Rangipur,58549,S98_01800,13.3,2.24,10.1,7,< 0.2,3.5,31,27.6,< 0.02,0.023,3.3,0.71,2.4,96,< 0.5,0.15,< 0.5,1,0.988,0.133,13.3,2.24,10.1,7.0,3.5,31.0,27.6,3.3,0.988,0.133,0.25,0.71,2.4,96.0,0.15,0.25,1.0,82.54,0.6637057737412047,0.18432421312487146,0.4393214441061331,0.179037290910021,0.0987222519955998,0.5080634587649142,0.5746408494690819,0.23559648747055045,1.4663887218822302,1.4170230477001464,1.7120577332329392,45.26124375051684,12.569942087953065,42.1688141615301,35.8542833576003,6.966876943591551,57.17883969880814,Mixed-Cation-SO4,0.48231483735205993,0.1626970613264218,Rock-Water Interaction Dominance,4.450075187969926,3.6007519711562446,0.783251697085515,-5.263620637865062,-0.39417140967653147,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,14,Lalmonirhat,Lalmonirhat Sadar,Lalmonihat,Lalmonihat,55255,S98_01801,9.19,2.27,7.3,4,0.5,8.1,46,3.1,< 0.02,< 0.004,< 0.2,1.31,1.3,20,4,0.09,0.6,1,9.07,0.691,9.19,2.27,7.3,4.0,8.1,46.0,3.1,0.1,9.07,0.691,4.0,1.31,1.3,20.0,0.09,0.6,1.0,57.06,0.45860571884824586,0.1867928409792224,0.31752936059156156,0.10230702337715485,0.22847149747553094,0.7539006162318082,0.06454299396210701,0.00713928749910759,1.0652349437961848,1.0540543951685537,0.5275612169640181,43.05207236385897,17.53536551416043,39.4125621219806,71.52388147020173,21.6754940278956,6.800624501902665,Mixed-Cation-HCO3,0.4779329026038227,0.23257123679265537,Rock-Water Interaction Dominance,1.3897985705003253,2.4551568274463906,0.7885681454273349,-0.8375875704744328,-0.23179366606058358,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Kurigram,Nageshwari,Nagieshwari,Nagieshwari,54961,S98_01802,41.6,14,33.3,9.3,< 0.2,52.4,187,13.7,< 0.02,0.015,2.9,0.8,3,17,< 0.5,0.2,< 0.5,1,0.182,1.96,41.6,14.0,33.3,9.3,52.4,187.0,13.7,2.9,0.182,1.96,0.25,0.8,3.0,17.0,0.2,0.25,1.0,260.7,2.0759518938070762,1.1520263320304465,1.448455850369726,0.23786382935188505,1.478013144162694,3.064769896420611,0.2852383926712471,0.2070393374741201,4.914297905559134,5.0350607707286725,1.2137753708422583,42.243102345479,23.442338135977785,34.314559518543206,60.86857807630947,29.354425129387195,9.776996794303336,Mixed-Cation-HCO3,0.4482184889539987,0.3253541124369684,Rock-Water Interaction Dominance,0.9800020088388913,1.8020003849636066,0.9635732055793162,-0.14093686269408948,-0.05856163802901313,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Kurigram,Ulipur,Ulipur,Ulipur,54994,S98_01803,19.7,9.61,12.1,2.3,< 0.2,7.7,122,6.5,< 0.02,0.012,0.3,0.96,2,10,0.6,0.08,< 0.5,< 1,2.13,0.242,19.7,9.61,12.1,2.3,7.7,122.0,6.5,0.3,2.13,0.242,0.6,0.96,2.0,10.0,0.08,0.25,0.5,119.21,0.9830829881730624,0.7907837893437565,0.5263157894736842,0.05882653844186403,0.21718895439031954,1.9994755473974042,0.13533208411409536,0.02141786249732277,2.359009105432367,2.3734144483991417,0.3043967388572299,41.67355632113508,33.52186252790317,24.804581150961745,84.24468591004164,9.150907231428231,6.604406858530138,Mixed-Cation-HCO3,0.3731238884569094,0.0979800751151824,Rock-Water Interaction Dominance,2.423308270676692,1.2431754436808677,0.8309258180142793,-1.694162461245446,-0.17064698221387561,Direct Ion Exchange (Na matrix -> Ca solution)
,18,Gaibandha,Sundarganj,Bamandaga,Bamandaga,53291,S98_01804,36.2,12.2,56.5,14.4,< 0.2,97,145,21.1,< 0.02,0.012,0.6,1.06,1.5,,< 0.5,0.07,< 0.5,< 1,0.084,0.179,36.2,12.2,56.5,14.4,97.0,145.0,21.1,0.6,0.084,0.179,0.25,1.06,1.5,,0.07,0.25,0.5,310.50000000000006,1.806477369130196,1.003908660769389,2.457590256633319,0.36830528415775743,2.7360166981637657,2.376425855513308,0.4393087653549865,0.04283572499464554,5.636281570690662,5.594587044026706,0.3712493493986604,32.05087159811345,17.81154202781199,50.13758637407456,42.4772344555904,48.90471229838113,8.618053246028476,Na-Mixed-Anion,0.6100319632598626,0.5351682037377442,Rock-Water Interaction Dominance,0.8982365708084648,1.7994439531438284,0.9981004633998285,-0.032850253687279,-0.03144188589145205,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Gaibandha,Gaibandha Sadar,Boalia,Boalia,53224,S98_01805,28.9,17.1,18.5,2,< 0.2,26.5,182,2.2,< 0.02,0.044,< 0.2,0.34,1.1,7,< 0.5,< 0.02,< 0.5,< 1,0.054,0.478,28.9,17.1,18.5,2.0,26.5,182.0,2.2,0.1,0.054,0.478,0.25,0.34,1.1,7.0,0.01,0.25,0.5,186.29999999999998,1.442187733918858,1.4071178769800454,0.8046976946498479,0.05115351168857742,0.7474684793952556,2.98282417726498,0.04580470539246305,0.00713928749910759,3.7051568172373286,3.783236649551806,1.0426780144601104,38.92379742766717,37.97728264654755,23.09891992578529,78.8431825330924,19.757381010881435,1.39943645602616,Mixed-Cation-HCO3,0.3724267641185428,0.2003779725059081,Rock-Water Interaction Dominance,1.0765640516385304,1.0249231834180654,0.9407906089830346,-0.1449997289930639,-0.03570191163101248,Direct Ion Exchange (Na matrix -> Ca solution)
,12,Gaibandha,Gobindaganj,Gabindagons,Gabindagons,53230,S98_01806,25.9,9.42,26.5,16.7,< 0.2,36.8,140,11.5,< 0.02,< 0.004,1.5,0.48,1.5,7,< 0.5,0.05,< 0.5,2,0.016,0.067,25.9,9.42,26.5,16.7,36.8,140.0,11.5,1.5,0.016,0.067,0.25,0.48,1.5,7.0,0.05,0.25,2.0,198.32,1.2924796646539247,0.7751491462662005,1.1526750761200524,0.42713182259962146,1.037993963839449,2.294480136357677,0.23943368727878409,0.10708931248661385,3.647435709639799,3.6789970999625234,0.43078795838212924,35.43529667261943,21.251893329265837,43.31280999811472,62.36700040837352,28.214046807757004,9.41895278386949,Mixed-Cation-HCO3,0.550017160148581,0.3114784789409312,Rock-Water Interaction Dominance,1.1104834096109846,1.667394811540002,0.8159822925441236,-0.5219808146822993,-0.20515421866389463,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,15,Jaipurhat,Jaipurhat Sadar,Madergonj,Madergonj,53847,S98_01807,21.8,11.8,12.6,1.3,< 0.2,8.5,146,2.7,< 0.02,< 0.004,< 0.2,0.23,1.6,91,< 0.5,0.16,< 0.5,< 1,0.976,0.566,21.8,11.8,12.6,1.3,8.5,146.0,2.7,0.1,0.976,0.566,0.25,0.23,1.6,91.0,0.16,0.25,0.5,131.79999999999998,1.0878786366585158,0.9709936227113765,0.548064375815572,0.03324978259757533,0.23975404056074234,2.3928149993444343,0.05621486570893192,0.00713928749910759,2.6401864177830396,2.695923193113216,1.0445208099991583,41.204614542786935,36.77746450671912,22.01792095049394,88.75679416449708,8.89320738710948,2.3499984483934417,Mixed-Cation-HCO3,0.3482606443842156,0.09107227082233639,Rock-Water Interaction Dominance,2.2859442724458208,1.1203767061010688,0.8406889147205349,-1.4246271597907434,-0.13906213157080513,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Bogra,Adamdighi,Santahar,Santahar,51006,S98_01808,62.6,24.7,68.1,0.9,< 0.2,97.2,251,48.8,< 0.02,0.009,3.2,0.39,7.5,42,< 0.5,0.11,< 0.5,1,0.04,0.435,62.6,24.7,68.1,0.9,97.2,251.0,48.8,3.2,0.04,0.435,0.25,0.39,7.5,42.0,0.11,0.25,1.0,431.0,3.1239083786616098,2.0325036000822876,2.9621574597651152,0.02301908025985984,2.7416579697063717,4.113675101612692,1.016031646887362,0.22845719997144287,8.141588518768874,8.09982191817787,0.25716116684047885,38.36976495999566,24.964459888837904,36.66577515116641,50.787228943646966,33.848373426006546,15.364397630346474,Mixed-Cation-HCO3,0.48864544850143765,0.39993067312465935,Rock-Water Interaction Dominance,1.0804256010396363,1.5369755697038547,1.0052059954989925,-0.08882164478915067,-0.045448137209028655,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Bogra,Bogra Sadar,Giokul,Giokul,51020,S98_01809,11,6.48,15.2,0.7,< 0.2,4.9,100,3.2,< 0.02,< 0.004,< 0.2,0.58,1.1,19,< 0.5,0.08,< 0.5,< 1,0.023,1.53,11.0,6.48,15.2,0.7,4.9,100.0,3.2,0.1,0.023,1.53,0.25,0.58,1.1,19.0,0.08,0.25,0.5,91.58,0.5489295873047557,0.5332236165398067,0.6611570247933884,0.0179037290910021,0.13821115279383972,1.6389143831126263,0.0666250260254008,0.00713928749910759,1.761213957728953,1.8508898494309745,2.4826499040328125,31.167683227572674,30.275913621953514,38.55640315047382,88.54737539440737,7.467281363952072,3.985343241640555,Mixed-Cation-HCO3,0.5529854194348223,0.07777230702126048,Rock-Water Interaction Dominance,4.783673469387756,1.0294547545865809,0.6344932272139513,-3.9132124300945508,-0.31579163222647394,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,15,Naogaon,Patnitala,Patnitala,Patnitala,56475,S98_01810,6.42,3.35,13.4,0.4,< 0.2,2.8,65,2.2,< 0.02,< 0.004,< 0.2,0.2,2.1,14,0.5,< 0.02,< 0.5,< 1,0.08,0.131,6.42,3.35,13.4,0.4,2.8,65.0,2.2,0.1,0.08,0.131,0.5,0.2,2.1,14.0,0.01,0.25,0.5,61.17000000000001,0.3203752682269574,0.27566344373585683,0.5828621139625925,0.010230702337715485,0.07897780159647982,1.0652943490232072,0.04580470539246305,0.00713928749910759,1.1891315282631223,1.1972161435112576,0.3387861435179709,26.94195390604992,23.181913622162412,49.876132471787656,88.98095425767119,6.596787223804854,4.422258518523961,Mixed-Cation-HCO3,0.649275903938388,0.06902012039155979,Rock-Water Interaction Dominance,7.380075187969927,1.1621971483964477,0.5364406616980449,-6.509614148676723,-0.4597544149876855,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Naogaon,Manda,Manda,Manda,56447,S98_01811,10.7,5.1,16.4,0.5,0.2,3.4,97,0.7,< 0.02,< 0.004,< 0.2,0.34,8,50,0.5,0.05,< 0.5,< 1,0.354,0.381,10.7,5.1,16.4,0.5,3.4,97.0,0.7,0.1,0.354,0.381,0.5,0.34,8.0,50.0,0.05,0.25,0.5,85.39999999999999,0.5339587803782623,0.41966673523966264,0.7133536320139191,0.012788377922144356,0.09590161622429694,1.5897469516192475,0.014574224443056422,0.00713928749910759,1.6797675255539883,1.7073620797857085,0.8146884662523187,31.787659438300093,24.98361998641784,43.22872057528207,93.11129551493713,5.616946596139324,1.271757888923554,Mixed-Cation-HCO3,0.5762570863517441,0.056893007269590117,Rock-Water Interaction Dominance,7.438390092879258,1.2723400154013396,0.5944106017216162,-6.571739023018607,-0.391098886980387,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Nawabganj,Gomastapur,Rahandur,Rahandur,57037,S98_01813,56.4,13.7,44.2,0.9,0.2,3.9,347,6.2,< 0.02,< 0.004,< 0.2,0.27,2.1,78,1,< 0.02,< 0.5,< 1,1.24,0.072,56.4,13.7,44.2,0.9,3.9,347.0,6.2,0.1,1.24,0.072,1.0,0.27,2.1,78.0,0.01,0.25,0.5,298.90000000000003,2.8145117021807473,1.1273400534869369,1.9225750326228799,0.02301908025985984,0.1100047950808112,5.687032909400814,0.12908598792421402,0.00713928749910759,5.887445868550424,5.9332629799049466,0.38760037102605294,47.80530921252821,19.14820244053479,33.046488346937,95.85000578369647,1.8540353841281028,2.2959588321754114,Mixed-Cation-HCO3,0.4087291729368396,0.018976035811491744,Rock-Water Interaction Dominance,17.477192982456145,2.4965951431205498,0.6777460752187573,-16.686448226674816,-0.3152168871003551,Direct Ion Exchange (Na matrix -> Ca solution)
Piez,61,Nawabganj,Shibganj (N),Shibgong,Shibgong,57088,S98_01815,137,42.2,63.7,2.4,0.2,9.1,512,46.4,< 0.02,< 0.004,< 0.2,0.23,3.4,11,0.6,0.03,< 0.5,< 1,0.03,0.662,137.0,42.2,63.7,2.4,9.1,512.0,46.4,0.1,0.03,0.662,0.6,0.23,3.4,11.0,0.03,0.25,0.5,556.9,6.836668496431957,3.4725365151203462,2.770769899956503,0.061384214026292905,0.25667785518855946,8.391241641536647,0.9660628773683114,0.00713928749910759,13.1413591255351,9.621121661592626,15.465087030114844,52.02405954455321,26.424485336321318,21.551455119125468,87.21687487888609,2.6678579090545504,10.115267212059354,Ca-HCO3,0.29291613137386,0.02968087934742665,Rock-Water Interaction Dominance,10.794736842105266,1.9687823199736811,1.1017280661032438,-10.03388569264089,-0.27502714651701415,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Rajshahi,Godagari,Giodagari,Giodagari,58134,S98_01817,37.3,9.71,33.9,0.6,< 0.2,6.9,242,5.2,< 0.02,< 0.004,< 0.2,0.19,1.5,7,0.5,< 0.02,< 0.5,< 1,0.174,0.103,37.3,9.71,33.9,0.6,6.9,242.0,5.2,0.1,0.174,0.103,0.5,0.19,1.5,7.0,0.01,0.25,0.5,214.70999999999998,1.8613703278606715,0.7990125488582598,1.4745541539799913,0.015346053506573226,0.19462386821989675,3.9661728071325557,0.10826566729127629,0.00713928749910759,4.150283084205497,4.276201630142836,1.494318807971365,44.849237753067634,19.25200119237692,35.89876105455542,92.74990166916136,4.551325803909668,2.698772526928976,Mixed-Cation-HCO3,0.44457771814360286,0.04677562577686172,Rock-Water Interaction Dominance,7.5764302059496575,2.3295883531747483,0.6529446679386015,-6.655280008119012,-0.3173469709067674,Direct Ion Exchange (Na matrix -> Ca solution)
