SAMPLE_ID,DISTRICT,THANA,pH_proxy,TDS_calc,WELL_DEPTH,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Ratio_Na_Cl,Ratio_CaMg_HCO3SO4,CAI_1,Facies_Ca-HCO3,Facies_Mixed-Cation-HCO3,Facies_Mixed-Cation-Mixed-Anion,Facies_Mixed-Cation-SO4,Facies_Na-Cl,Facies_Na-HCO3,Facies_Na-Mixed-Anion,IonEx_Direct Ion Exchange (Na matrix -> Ca solution),IonEx_Reverse Ion Exchange (Ca matrix -> Na solution),Gibbs_Rock-Water Interaction Dominance,Gibbs_Evaporation / Crystallization Dominance,As_num,Fe_num,Mn_num,Pb_num,Ni_num,Zn_num
S98_01797,Nilphamari,Nilphamari Sadar,7.0196555285864175,106.51,18.0,13.8,4.31,25.4,2.7,32.9,46.0,4.3,0.1,1.1905615101583749,1.2369955229567342,-0.2649775088622785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9,0.837,1.48,0.33,0.8,3.0
S98_01798,Lalmonirhat,Hatibandha,6.934895093955897,113.77,,16.4,2.67,14.0,13.6,33.4,37.0,6.9,8.3,0.646391427670974,1.3840413031741463,-0.0156162498053129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.271,0.212,7.58,1.2,12.0
S98_01799,Nilphamari,Jaldhaka,7.125968233383206,44.5,27.0,8.09,1.01,6.2,2.4,3.1,44.0,1.6,0.1,3.08421052631579,0.6452820102969412,-2.7862281198235848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.018,0.222,0.35,0.5,11.0
S98_01800,Rangpur,Rangpur Sadar,6.941971182379842,82.54,18.0,13.3,2.24,10.1,7.0,3.5,31.0,27.6,3.3,4.450075187969926,0.783251697085515,-5.263620637865062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.988,0.133,0.71,2.4,96.0
S98_01801,Lalmonirhat,Lalmonirhat Sadar,7.10793731609398,57.06,14.0,9.19,2.27,7.3,4.0,8.1,46.0,3.1,0.1,1.3897985705003253,0.7885681454273349,-0.8375875704744328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.07,0.691,1.31,1.3,20.0
S98_01802,Kurigram,Nageshwari,7.084590293901127,260.7,18.0,41.6,14.0,33.3,9.3,52.4,187.0,13.7,2.9,0.9800020088388912,0.9635732055793162,-0.1409368626940894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.182,1.96,0.8,3.0,17.0
S98_01803,Kurigram,Ulipur,7.154162958202826,119.21,18.0,19.7,9.61,12.1,2.3,7.7,122.0,6.5,0.3,2.423308270676692,0.8309258180142793,-1.694162461245446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6,2.13,0.242,0.96,2.0,10.0
S98_01804,Gaibandha,Sundarganj,7.059545871797153,310.50000000000006,18.0,36.2,12.2,56.5,14.4,97.0,145.0,21.1,0.6,0.8982365708084648,0.9981004633998284,-0.032850253687279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.25,0.084,0.179,1.06,1.5,
S98_01805,Gaibandha,Gaibandha Sadar,7.157802928560512,186.3,18.0,28.9,17.1,18.5,2.0,26.5,182.0,2.2,0.1,1.0765640516385304,0.9407906089830346,-0.1449997289930639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.054,0.478,0.34,1.1,7.0
S98_01806,Gaibandha,Gobindaganj,7.124630291744742,198.32,12.0,25.9,9.42,26.5,16.7,36.8,140.0,11.5,1.5,1.1104834096109846,0.8159822925441236,-0.5219808146822993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.016,0.067,0.48,1.5,7.0
