WELL_TYPE,WELL_DEPTH,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_ID,Ca,Mg,Na,K,P,Cl,HCO3,SO4,NH4-N,NO2-N,NO3-N,Pb,Ni,Zn,As,Cd,Cr,Cu,Fe,Mn,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Fe_num,Mn_num,As_num,Pb_num,Ni_num,Zn_num,Cd_num,Cr_num,Cu_num,TDS_calc,Ca_meq,Mg_meq,Na_meq,K_meq,Cl_meq,HCO3_meq,SO4_meq,NO3_meq,Cat_sum,An_sum,CBE_pct,pct_Ca,pct_Mg,pct_Na_K,pct_HCO3,pct_Cl,pct_SO4_NO3,Facies,Gibbs_Cation,Gibbs_Anion,Gibbs_Mechanism,Ratio_Na_Cl,Ratio_Ca_Mg,Ratio_CaMg_HCO3SO4,CAI_1,CAI_2,Ion_Exchange_Process,Fe_mgL,Mn_mgL,Fe_ugL,Mn_ugL,As_ugL,Pb_ugL,Ni_ugL,Zn_ugL,Cd_ugL,WQI,WQI_Category,HPI,HEI,HPI_Polluted,HEI_Category,Latitude,Longitude
HTW,18.0,Nilphamari,Nilphamari Sadar,Nilphamari,Nilphamari,57364,S98_01797,13.8,4.31,25.4,2.7,< 0.2,32.9,46,4.3,0.37,0.004,< 0.2,0.33,0.8,3.0,1.9,11.825428571428573,< 0.5,< 1,0.837,1.48,13.8,4.31,25.4,2.7,32.9,46.0,4.3,0.1,0.837,1.48,1.9,0.33,0.8,3.0,0.02,0.25,0.5,106.51,0.6886571186186935,0.3546595350750874,1.104828186167899,0.0690572407795795,0.927989168758638,0.7539006162318082,0.0895273787216323,0.0071392874991075,2.21720208064126,1.7785564512111862,10.977781213088363,31.059736260914928,15.995814642773237,52.94444909631184,42.3883434072844,52.17653722077154,5.435119371944055,Na-Cl,0.6302596575535637,0.5517538527436323,Rock-Water Interaction Dominance,1.1905615101583749,1.9417414464068847,1.2369955229567342,-0.2649775088622785,-0.2890967748957105,Direct Ion Exchange (Na matrix -> Ca solution),0.837,1.48,837.0,1480.0,1.9,0.33,0.8,3.0,0.02,35.456162886301406,Excellent Water (WQI < 50),78.86015398848069,17.82542857142857,False,Moderate Contamination (10 <= HEI <= 20),25.9406,88.8475
HTW,,Lalmonirhat,Hatibandha,Barakhta,Barakhta,55233,S98_01798,16.4,2.67,14.0,13.6,< 0.2,33.4,37,6.9,< 0.02,0.015,8.3,7.58,1.2,12.0,< 0.5,-2.1725238095238093,2.6,1,0.271,0.212,16.4,2.67,14.0,13.6,33.4,37.0,6.9,8.3,0.271,0.212,0.25,7.58,1.2,12.0,0.39,2.6,1.0,113.77,0.8184041119816357,0.2197078790372351,0.6089604175728578,0.3478438794823265,0.9420923476151524,0.6063983217516717,0.1436602123672704,0.59256086242593,1.994916288074055,2.2847117441600244,6.771510372005124,41.024483928182505,11.013388398835872,47.96212767298163,26.54156802501203,41.234626207146015,32.22380576784195,Mixed-Cation-Mixed-Anion,0.5389813906832046,0.6083939453121618,Rock-Water Interaction Dominance,0.646391427670974,3.724964783092444,1.3840413031741463,-0.0156162498053129,-0.0109576470278114,Direct Ion Exchange (Na matrix -> Ca solution),0.271,0.212,271.0,212.0,0.25,7.58,1.2,12.0,0.39,49.26741466115476,Excellent Water (WQI < 50),45.078424701821405,3.8274761904761907,False,Low Contamination (HEI < 10),26.1147,89.1353
HTW,27.0,Nilphamari,Jaldhaka,Jaldhaka,Jaldhaka,57336,S98_01799,8.09,1.01,6.2,2.4,< 0.2,3.1,44,1.6,< 0.02,< 0.004,< 0.2,0.35,0.5,11.0,< 0.5,-3.649190476190476,< 0.5,< 1,0.018,0.222,8.09,1.01,6.2,2.4,3.1,44.0,1.6,0.1,0.018,0.222,0.25,0.35,0.5,11.0,0.06,0.25,0.5,44.5,0.4037127601177703,0.0831104710964822,0.2696824706394085,0.0613842140262929,0.0874397089103884,0.7211223285695556,0.0333125130127004,0.0071392874991075,0.8178899158799539,0.8490138379917521,1.8671697174781048,49.36028092282109,10.161571806037625,40.478147271141296,84.93646349455155,10.298973349741544,4.764563155706888,Mixed-Cation-HCO3,0.4505660671594613,0.1081422387611875,Rock-Water Interaction Dominance,3.08421052631579,4.857543878545745,0.6452820102969412,-2.7862281198235848,-0.3198992277339884,Direct Ion Exchange (Na matrix -> Ca solution),0.018,0.222,18.0,222.0,0.25,0.35,0.5,11.0,0.06,8.423921462136386,Excellent Water (WQI < 50),12.504042694997361,2.350809523809524,False,Low Contamination (HEI < 10),26.0125,88.9482
HTW,18.0,Rangpur,Rangpur Sadar,Rangipur,Rangipur,58549,S98_01800,13.3,2.24,10.1,7.0,< 0.2,3.5,31,27.6,< 0.02,0.023,3.3,0.71,2.4,96.0,< 0.5,-1.2143809523809521,< 0.5,1,0.988,0.133,13.3,2.24,10.1,7.0,3.5,31.0,27.6,3.3,0.988,0.133,0.25,0.71,2.4,96.0,0.15,0.25,1.0,82.54,0.6637057737412047,0.1843242131248714,0.4393214441061331,0.179037290910021,0.0987222519955998,0.5080634587649142,0.5746408494690819,0.2355964874705504,1.4663887218822302,1.4170230477001464,1.7120577332329392,45.26124375051684,12.569942087953065,42.1688141615301,35.8542833576003,6.966876943591551,57.17883969880814,Mixed-Cation-SO4,0.4823148373520599,0.1626970613264218,Rock-Water Interaction Dominance,4.450075187969926,3.600751971156245,0.783251697085515,-5.263620637865062,-0.3941714096765314,Direct Ion Exchange (Na matrix -> Ca solution),0.988,0.133,988.0,133.0,0.25,0.71,2.4,96.0,0.15,20.78446724119948,Excellent Water (WQI < 50),15.08132541506262,4.785619047619048,False,Low Contamination (HEI < 10),25.7558,89.2444
HTW,14.0,Lalmonirhat,Lalmonirhat Sadar,Lalmonihat,Lalmonihat,55255,S98_01801,9.19,2.27,7.3,4.0,0.5,8.1,46,3.1,< 0.02,< 0.004,< 0.2,1.31,1.3,20.0,4,31.69957142857143,0.6,1,9.07,0.691,9.19,2.27,7.3,4.0,8.1,46.0,3.1,0.1,9.07,0.691,4.0,1.31,1.3,20.0,0.09,0.6,1.0,57.06,0.4586057188482458,0.1867928409792224,0.3175293605915615,0.1023070233771548,0.2284714974755309,0.7539006162318082,0.064542993962107,0.0071392874991075,1.0652349437961848,1.0540543951685537,0.5275612169640181,43.05207236385897,17.53536551416043,39.4125621219806,71.52388147020173,21.6754940278956,6.800624501902665,Mixed-Cation-HCO3,0.4779329026038227,0.2325712367926553,Rock-Water Interaction Dominance,1.3897985705003253,2.45515682744639,0.7885681454273349,-0.8375875704744328,-0.2317936660605835,Direct Ion Exchange (Na matrix -> Ca solution),9.07,0.691,9070.0,691.0,4.0,1.31,1.3,20.0,0.09,44.034819063517034,Excellent Water (WQI < 50),97.9350622220896,37.69957142857143,False,High Contamination (HEI > 20),25.9181,89.4475
HTW,18.0,Kurigram,Nageshwari,Nagieshwari,Nagieshwari,54961,S98_01802,41.6,14.0,33.3,9.3,< 0.2,52.4,187,13.7,< 0.02,0.015,2.9,0.8,3.0,17.0,< 0.5,14.360190476190478,< 0.5,1,0.182,1.96,41.6,14.0,33.3,9.3,52.4,187.0,13.7,2.9,0.182,1.96,0.25,0.8,3.0,17.0,0.2,0.25,1.0,260.7,2.075951893807076,1.1520263320304465,1.448455850369726,0.237863829351885,1.478013144162694,3.064769896420611,0.2852383926712471,0.2070393374741201,4.914297905559134,5.0350607707286725,1.2137753708422585,42.243102345479,23.442338135977785,34.314559518543206,60.86857807630947,29.354425129387195,9.776996794303336,Mixed-Cation-HCO3,0.4482184889539987,0.3253541124369684,Rock-Water Interaction Dominance,0.9800020088388912,1.8020003849636064,0.9635732055793162,-0.1409368626940894,-0.0585616380290131,Direct Ion Exchange (Na matrix -> Ca solution),0.182,1.96,182.0,1960.0,0.25,0.8,3.0,17.0,0.2,55.24048090703036,Good Water (50 <= WQI < 100),91.74563351139496,20.36019047619048,False,High Contamination (HEI > 20),25.9792,89.7042
HTW,18.0,Kurigram,Ulipur,Ulipur,Ulipur,54994,S98_01803,19.7,9.61,12.1,2.3,< 0.2,7.7,122,6.5,< 0.02,0.012,0.3,0.96,2.0,10.0,0.6,3.7079047619047616,< 0.5,< 1,2.13,0.242,19.7,9.61,12.1,2.3,7.7,122.0,6.5,0.3,2.13,0.242,0.6,0.96,2.0,10.0,0.08,0.25,0.5,119.21,0.9830829881730624,0.7907837893437565,0.5263157894736842,0.058826538441864,0.2171889543903195,1.999475547397404,0.1353320841140953,0.0214178624973227,2.359009105432367,2.3734144483991417,0.3043967388572299,41.67355632113508,33.52186252790317,24.804581150961745,84.24468591004164,9.150907231428231,6.604406858530138,Mixed-Cation-HCO3,0.3731238884569094,0.0979800751151824,Rock-Water Interaction Dominance,2.423308270676692,1.2431754436808675,0.8309258180142793,-1.694162461245446,-0.1706469822138756,Direct Ion Exchange (Na matrix -> Ca solution),2.13,0.242,2130.0,242.0,0.6,0.96,2.0,10.0,0.08,15.941538124598818,Excellent Water (WQI < 50),28.021616083241316,9.70790476190476,False,Low Contamination (HEI < 10),25.6606,89.6253
,18.0,Gaibandha,Sundarganj,Bamandaga,Bamandaga,53291,S98_01804,36.2,12.2,56.5,14.4,< 0.2,97.0,145,21.1,< 0.02,0.012,0.6,1.06,1.5,,< 0.5,-3.7775714285714286,< 0.5,< 1,0.084,0.179,36.2,12.2,56.5,14.4,97.0,145.0,21.1,0.6,0.084,0.179,0.25,1.06,1.5,,0.07,0.25,0.5,310.50000000000006,1.806477369130196,1.003908660769389,2.457590256633319,0.3683052841577574,2.7360166981637657,2.376425855513308,0.4393087653549865,0.0428357249946455,5.636281570690662,5.594587044026706,0.3712493493986604,32.05087159811345,17.81154202781199,50.13758637407456,42.4772344555904,48.90471229838113,8.618053246028476,Na-Mixed-Anion,0.6100319632598626,0.5351682037377442,Rock-Water Interaction Dominance,0.8982365708084648,1.7994439531438284,0.9981004633998284,-0.032850253687279,-0.031441885891452,Direct Ion Exchange (Na matrix -> Ca solution),0.084,0.179,84.0,179.0,0.25,1.06,1.5,,0.07,26.81887232083412,Excellent Water (WQI < 50),14.143066041958877,2.2224285714285714,False,Low Contamination (HEI < 10),25.5601,89.5168
HTW,18.0,Gaibandha,Gaibandha Sadar,Boalia,Boalia,53224,S98_01805,28.9,17.1,18.5,2.0,< 0.2,26.5,182,2.2,< 0.02,0.044,< 0.2,0.34,1.1,7.0,< 0.5,-0.9629523809523808,< 0.5,< 1,0.054,0.478,28.9,17.1,18.5,2.0,26.5,182.0,2.2,0.1,0.054,0.478,0.25,0.34,1.1,7.0,0.01,0.25,0.5,186.3,1.442187733918858,1.4071178769800454,0.8046976946498479,0.0511535116885774,0.7474684793952556,2.98282417726498,0.045804705392463,0.0071392874991075,3.7051568172373286,3.783236649551806,1.0426780144601104,38.92379742766717,37.97728264654755,23.09891992578529,78.8431825330924,19.757381010881435,1.39943645602616,Mixed-Cation-HCO3,0.3724267641185428,0.2003779725059081,Rock-Water Interaction Dominance,1.0765640516385304,1.0249231834180654,0.9407906089830346,-0.1449997289930639,-0.0357019116310124,Direct Ion Exchange (Na matrix -> Ca solution),0.054,0.478,54.0,478.0,0.25,0.34,1.1,7.0,0.01,14.654002507378088,Excellent Water (WQI < 50),23.91958677768162,5.03704761904762,False,Low Contamination (HEI < 10),25.3292,89.5417
,12.0,Gaibandha,Gobindaganj,Gabindagons,Gabindagons,53230,S98_01806,25.9,9.42,26.5,16.7,< 0.2,36.8,140,11.5,< 0.02,< 0.004,1.5,0.48,1.5,7.0,< 0.5,-5.179904761904762,< 0.5,2,0.016,0.067,25.9,9.42,26.5,16.7,36.8,140.0,11.5,1.5,0.016,0.067,0.25,0.48,1.5,7.0,0.05,0.25,2.0,198.32,1.2924796646539247,0.7751491462662005,1.1526750761200524,0.4271318225996214,1.037993963839449,2.294480136357677,0.239433687278784,0.1070893124866138,3.647435709639799,3.678997099962523,0.4307879583821292,35.43529667261943,21.25189332926584,43.31280999811472,62.36700040837352,28.214046807757004,9.41895278386949,Mixed-Cation-HCO3,0.550017160148581,0.3114784789409312,Rock-Water Interaction Dominance,1.1104834096109846,1.667394811540002,0.8159822925441236,-0.5219808146822993,-0.2051542186638946,Direct Ion Exchange (Na matrix -> Ca solution),0.016,0.067,16.0,67.0,0.25,0.48,1.5,7.0,0.05,27.146681417327972,Excellent Water (WQI < 50),6.35425607050842,0.8200952380952381,False,Low Contamination (HEI < 10),25.1311,89.4002
