pH_proxy,TDS_calc,NO3-N_num,WELL_DEPTH,SAMPLE_ID
-0.0027201591279156644,0.005503153196255237,0.25260924005119784,0.010835633235303397,S98_01785
0.0008417412532655203,0.007562066009997771,-0.055200556924266626,0.00601979624183522,S98_01786
-0.0009871026732776885,0.006878867927686348,0.06381923123957964,0.003611877745101132,S98_01788
-0.00416906886905033,0.008475776008092658,0.10075640687663538,-0.01163827273421476,S98_01789
-0.0003968270607202151,0.007136354642125327,0.07613162311859822,-0.00601979624183522,S98_01791
-0.0046573964807970795,0.006223135094915084,0.4537116407418346,-0.00601979624183522,S98_01792
0.005137894015527175,0.007393841356564305,0.055610969986900585,0.003611877745101132,S98_01793
0.0005948071131466102,0.002882674119593407,-0.055200556924266626,0.002006598747278407,S98_01794
0.00040175554728215856,0.004755706048055232,-0.001846858781852787,0.0012039592483670438,S98_01795
0.0015173573099015163,0.006456099265121779,-0.055200556924266626,-0.0012039592483670443,S98_01796
-0.001360735917476542,0.0059033611181261055,-0.055200556924266626,0.003611877745101132,S98_01797
-0.003205244759036,0.005547293775873347,0.2813381544355746,0.003611877745101132,S98_01798
0.0009527812892552969,0.008944647053813922,-0.055200556924266626,-0.003611877745101132,S98_01799
-0.0030512589079898563,0.007078971888621783,0.07613162311859822,0.003611877745101132,S98_01800
0.0005604026221757651,0.008328640742698958,-0.055200556924266626,0.006822435740746583,S98_01801
5.233787420081518e-05,-0.0016589010722255228,0.05971510061324011,0.003611877745101132,S98_01802
0.0015663390115796484,0.005280488494626102,-0.046992295671587574,0.003611877745101132,S98_01803
-0.0004926647346684662,-0.004101346477760976,-0.034679903792568995,0.003611877745101132,S98_01804
0.001645549996481197,0.0019900535095382817,-0.055200556924266626,0.003611877745101132,S98_01805
0.0009236657568444988,0.0014005315461941836,0.002257271844486743,0.00842771473856931,S98_01806
0.0019363134426156948,0.004663010830857199,-0.055200556924266626,0.00601979624183522,S98_01807
-0.00048787769113459335,-0.01001127963774133,0.0720274924922587,0.003611877745101132,S98_01808
0.0033803039472879754,0.006635604288902096,-0.055200556924266626,0.003611877745101132,S98_01809
0.003889206177047949,0.008127065429109586,-0.055200556924266626,0.00601979624183522,S98_01810
0.003367036453422671,0.006938702935613122,-0.055200556924266626,-0.00601979624183522,S98_01811
0.0015354025862798942,-0.003532423451571995,-0.055200556924266626,-0.00601979624183522,S98_01813
-0.000820283577916761,-0.01618605627543035,-0.055200556924266626,-0.03090162070808746,S98_01815
0.0017862702072584296,0.0005966825462599255,-0.055200556924266626,-0.00601979624183522,S98_01817
-0.0023992490747560373,-0.014258584298772858,-0.055200556924266626,-0.01163827273421476,S98_01818
-0.0020330004074736612,-0.008569354036883057,-0.055200556924266626,0.003611877745101132,S98_01819
-0.0032927809585517926,-0.01778492615937524,-0.055200556924266626,-0.003611877745101132,S98_01820
-0.003175298828813957,-0.017976202004387053,-0.055200556924266626,0.003611877745101132,S98_01821
-0.0007897309019099029,-0.008152470784934232,-0.055200556924266626,-0.003611877745101132,S98_01822
0.001667899569725223,0.0051828887685816125,-0.055200556924266626,0.00601979624183522,S98_01823
0.001609714047023909,0.005648817108995002,-0.055200556924266626,0.003611877745101132,S98_01824
0.0012535942310824655,-0.014067308453761047,-0.055200556924266626,0.003611877745101132,S98_01825
-0.0011301811211773057,-0.007789537130296438,-0.055200556924266626,-0.00601979624183522,S98_01826
0.0007326465190683136,-0.009133372554225578,-0.055200556924266626,0.003611877745101132,S98_01827
-0.0015235023056850744,-0.010531157575465746,-0.030575773166229465,0.002006598747278407,S98_01828
0.0013393444278782033,-0.0017815137933869436,-0.055200556924266626,-0.010835633235303397,S98_01834
