pH_proxy,TDS_calc,NO3-N_num,WELL_DEPTH,SAMPLE_ID
0.1514698661065255,-0.7737188332023001,0.04981556014793385,0.1196478737032001,S98_01785
-0.04687168247622471,-1.0631928062325529,-0.010885772282529817,0.06647104094622228,S98_01786
0.05496601585559905,-0.9671381982213232,0.012585409590582802,0.039882624567733366,S98_01788
0.23215123589766537,-1.1916563631061499,0.01986956948223844,-0.1285106791626964,S98_01789
0.022096994671335496,-1.003339683652691,0.015013462887801348,-0.06647104094622228,S98_01791
0.2593433649199396,-0.8749450819894394,0.08947376400250345,-0.06647104094622228,S98_01792
-0.2860994824217314,-1.039541169084059,0.010966707392437105,0.039882624567733366,S98_01793
-0.0331213541380434,-0.4052911443264922,-0.010885772282529817,0.022157013648740762,S98_01794
-0.022371433468677995,-0.6686310926358148,-0.00036420799458278204,0.013294208189244452,S98_01795
-0.08449281742669658,-0.9076988069035343,-0.010885772282529817,-0.013294208189244457,S98_01796
0.075771481569332,-0.8299862848441977,-0.010885772282529817,0.039882624567733366,S98_01797
0.17848146805361378,-0.7799248021333917,0.0554810178414438,0.039882624567733366,S98_01798
-0.05305485728067927,-1.2575775441964125,-0.010885772282529817,-0.039882624567733366,S98_01799
0.16990689019127705,-0.9952719240422719,0.015013462887801348,0.039882624567733366,S98_01800
-0.03120556781975907,-1.1709698000025113,-0.010885772282529817,0.07533384640571858,S98_01801
-0.00291439229276716,0.2332341034724933,0.011776058491509953,0.039882624567733366,S98_01802
-0.08722032396067698,-0.74241316770546,-0.009267070084384118,0.039882624567733366,S98_01803
0.027433638212489578,0.5766310509928985,-0.006839016787165572,0.039882624567733366,S98_01804
-0.09163112373855513,-0.27979266149774984,-0.010885772282529817,0.039882624567733366,S98_01805
-0.05143358235208233,-0.19690849866250365,0.0004451431044900676,0.09305945732471119,S98_01806
-0.10782205161578252,-0.6555985578805223,-0.010885772282529817,0.06647104094622228,S98_01807
0.02716707555603299,1.407541335655725,0.014204111788728501,0.039882624567733366,S98_01808
-0.18822949769390981,-0.9329364138899738,-0.010885772282529817,0.039882624567733366,S98_01809
-0.2165673077183259,-1.1426292085505259,-0.010885772282529817,0.06647104094622228,S98_01810
-0.18749070800373213,-0.9755507338834698,-0.010885772282529817,-0.06647104094622228,S98_01811
-0.08549765408086046,0.49664300699216146,-0.010885772282529817,-0.06647104094622228,S98_01813
0.04567682913890384,2.275687433905101,-0.010885772282529817,-0.34121801019060766,S98_01815
-0.09946701512673362,-0.08389090890629004,-0.010885772282529817,-0.06647104094622228,S98_01817
0.1336002487427895,2.004693457247433,-0.010885772282529817,-0.1285106791626964,S98_01818
0.11320598723594033,1.2048130172400648,-0.010885772282529817,0.039882624567733366,S98_01819
0.1833558506895631,2.5004814196313103,-0.010885772282529817,-0.039882624567733366,S98_01820
0.17681395309295636,2.5273739516660405,-0.010885772282529817,0.039882624567733366,S98_01821
0.04397552802880998,1.1462010884464209,-0.010885772282529817,-0.039882624567733366,S98_01822
-0.09287564169049001,-0.7286910808467129,-0.010885772282529817,0.06647104094622228,S98_01823
-0.08963562780951552,-0.7941985306749025,-0.010885772282529817,0.039882624567733366,S98_01824
-0.06980538321648547,1.9778009252127025,-0.010885772282529817,0.039882624567733366,S98_01825
0.06293322377504558,1.095174232790779,-0.010885772282529817,-0.06647104094622228,S98_01826
-0.040796830232400313,1.2841115091373467,-0.010885772282529817,0.039882624567733366,S98_01827
0.0848349965584277,1.4806338586219157,-0.0060296656880927234,0.022157013648740762,S98_01828
-0.07458031373211715,0.25047290605885936,-0.010885772282529817,-0.1196478737032001,S98_01834
