target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M1_Core,Lasso,LOG1P,20,0.038727,2.817795,1.762351
Ni_num,M1_Core,Lasso,LOG1P,21,0.177134,0.623542,0.540969
Ni_num,M1_Core,Lasso,LOG1P,22,0.337002,1.785203,1.226741
Ni_num,M1_Core,Lasso,LOG1P,23,0.666554,0.761125,0.637882
Ni_num,M1_Core,Lasso,LOG1P,24,0.152549,2.352752,1.422064
Ni_num,M1_Core,Lasso,LOG1P,25,-0.220924,2.360143,1.148739
Ni_num,M1_Core,Lasso,RAW,1,-1.961286,1.689224,1.265124
Ni_num,M1_Core,Lasso,RAW,2,0.158586,1.163849,0.959981
Ni_num,M1_Core,Lasso,RAW,3,-0.468214,2.740255,1.874742
Ni_num,M1_Core,Lasso,RAW,4,-0.013485,2.751496,1.890656
Ni_num,M1_Core,Lasso,RAW,5,0.67846,0.7122,0.618505
Ni_num,M1_Core,Lasso,RAW,6,-0.218484,1.270326,0.977954
Ni_num,M1_Core,Lasso,RAW,7,0.176605,2.105427,1.558948
Ni_num,M1_Core,Lasso,RAW,8,0.245726,2.023669,1.085539
Ni_num,M1_Core,Lasso,RAW,9,-11.248135,0.8102,0.753045
Ni_num,M1_Core,Lasso,RAW,10,-0.554849,2.579492,1.64374
Ni_num,M1_Core,Lasso,RAW,11,-0.09585,0.935946,0.77
Ni_num,M1_Core,Lasso,RAW,12,0.397436,1.819226,1.282263
Ni_num,M1_Core,Lasso,RAW,13,0.383607,2.043142,1.24648
Ni_num,M1_Core,Lasso,RAW,14,-0.450128,2.597445,1.751609
Ni_num,M1_Core,Lasso,RAW,15,-0.393429,0.72392,0.599436
Ni_num,M1_Core,Lasso,RAW,16,-0.067812,2.458112,1.383564
Ni_num,M1_Core,Lasso,RAW,17,0.475186,0.887994,0.773262
Ni_num,M1_Core,Lasso,RAW,18,0.685696,0.764081,0.613795
Ni_num,M1_Core,Lasso,RAW,19,-0.247838,1.17922,0.927466
Ni_num,M1_Core,Lasso,RAW,20,0.166537,2.62379,1.840206
Ni_num,M1_Core,Lasso,RAW,21,0.080668,0.659078,0.515442
Ni_num,M1_Core,Lasso,RAW,22,0.249682,1.899128,1.359518
Ni_num,M1_Core,Lasso,RAW,23,0.640311,0.790508,0.685204
Ni_num,M1_Core,Lasso,RAW,24,0.305727,2.129531,1.480954
Ni_num,M1_Core,Lasso,RAW,25,-0.334168,2.467171,1.409127
Ni_num,M1_Core,HuberRegressor,LOG1P,1,-0.418002,1.168922,0.786714
Ni_num,M1_Core,HuberRegressor,LOG1P,2,0.482046,0.91314,0.697045
Ni_num,M1_Core,HuberRegressor,LOG1P,3,-0.462625,2.735035,1.68658
Ni_num,M1_Core,HuberRegressor,LOG1P,4,0.022584,2.702092,1.827043
Ni_num,M1_Core,HuberRegressor,LOG1P,5,0.92824,0.336454,0.278595
Ni_num,M1_Core,HuberRegressor,LOG1P,6,0.744991,0.581144,0.504847
Ni_num,M1_Core,HuberRegressor,LOG1P,7,0.405894,1.788414,1.188642
Ni_num,M1_Core,HuberRegressor,LOG1P,8,0.050212,2.270849,1.271704
Ni_num,M1_Core,HuberRegressor,LOG1P,9,-0.989769,0.326557,0.291954
Ni_num,M1_Core,HuberRegressor,LOG1P,10,-0.68145,2.682453,1.500666
Ni_num,M1_Core,HuberRegressor,LOG1P,11,0.304383,0.745694,0.569514
Ni_num,M1_Core,HuberRegressor,LOG1P,12,0.504009,1.650524,0.958425
Ni_num,M1_Core,HuberRegressor,LOG1P,13,0.282536,2.204295,1.282127
Ni_num,M1_Core,HuberRegressor,LOG1P,14,-0.663467,2.781956,1.91326
Ni_num,M1_Core,HuberRegressor,LOG1P,15,-0.875626,0.839888,0.699025
Ni_num,M1_Core,HuberRegressor,LOG1P,16,-0.157388,2.559138,1.209484
Ni_num,M1_Core,HuberRegressor,LOG1P,17,0.627824,0.747793,0.654355
Ni_num,M1_Core,HuberRegressor,LOG1P,18,0.886817,0.458516,0.427
Ni_num,M1_Core,HuberRegressor,LOG1P,19,0.262894,0.906318,0.663495
Ni_num,M1_Core,HuberRegressor,LOG1P,20,0.133414,2.675418,1.807854
Ni_num,M1_Core,HuberRegressor,LOG1P,21,-0.282935,0.77858,0.666548
Ni_num,M1_Core,HuberRegressor,LOG1P,22,0.488953,1.567335,0.947585
Ni_num,M1_Core,HuberRegressor,LOG1P,23,0.648776,0.781151,0.486187
Ni_num,M1_Core,HuberRegressor,LOG1P,24,0.191251,2.298401,1.496623
Ni_num,M1_Core,HuberRegressor,LOG1P,25,-0.381573,2.51062,1.162558
Ni_num,M1_Core,HuberRegressor,RAW,1,0.340941,0.79691,0.652716
Ni_num,M1_Core,HuberRegressor,RAW,2,0.560781,0.840877,0.583259
Ni_num,M1_Core,HuberRegressor,RAW,3,-0.587362,2.849275,1.754953
Ni_num,M1_Core,HuberRegressor,RAW,4,0.052883,2.659881,1.805973
Ni_num,M1_Core,HuberRegressor,RAW,5,0.869908,0.453013,0.368213
Ni_num,M1_Core,HuberRegressor,RAW,6,0.758426,0.565627,0.504557
Ni_num,M1_Core,HuberRegressor,RAW,7,0.400735,1.796162,1.26267
Ni_num,M1_Core,HuberRegressor,RAW,8,0.124327,2.180448,1.1736
Ni_num,M1_Core,HuberRegressor,RAW,9,-1.503802,0.366317,0.315951
Ni_num,M1_Core,HuberRegressor,RAW,10,-0.784698,2.763583,1.542011
Ni_num,M1_Core,HuberRegressor,RAW,11,0.432128,0.673753,0.573356
Ni_num,M1_Core,HuberRegressor,RAW,12,0.532003,1.603269,0.955046
Ni_num,M1_Core,HuberRegressor,RAW,13,0.335549,2.121295,1.245383
Ni_num,M1_Core,HuberRegressor,RAW,14,-0.548594,2.684182,1.619592
Ni_num,M1_Core,HuberRegressor,RAW,15,-1.287352,0.927501,0.791526
Ni_num,M1_Core,HuberRegressor,RAW,16,-0.194288,2.599613,1.284907
Ni_num,M1_Core,HuberRegressor,RAW,17,0.652203,0.722886,0.608994
Ni_num,M1_Core,HuberRegressor,RAW,18,0.891218,0.449515,0.415619
Ni_num,M1_Core,HuberRegressor,RAW,19,0.447512,0.784652,0.514526
Ni_num,M1_Core,HuberRegressor,RAW,20,0.172158,2.614927,1.789222
Ni_num,M1_Core,HuberRegressor,RAW,21,-0.335155,0.794268,0.682087
Ni_num,M1_Core,HuberRegressor,RAW,22,0.493588,1.560211,0.998663
Ni_num,M1_Core,HuberRegressor,RAW,23,0.72724,0.688388,0.387573
Ni_num,M1_Core,HuberRegressor,RAW,24,0.283016,2.164082,1.305717
Ni_num,M1_Core,HuberRegressor,RAW,25,-0.496564,2.613014,1.323645
Ni_num,M1_Core,SVR_RBF,LOG1P,1,-0.532772,1.215306,0.95111
Ni_num,M1_Core,SVR_RBF,LOG1P,2,0.274999,1.080342,0.855183
Ni_num,M1_Core,SVR_RBF,LOG1P,3,-0.261142,2.539676,1.468223
Ni_num,M1_Core,SVR_RBF,LOG1P,4,-0.002495,2.736538,1.840077
Ni_num,M1_Core,SVR_RBF,LOG1P,5,0.916,0.36402,0.309797
Ni_num,M1_Core,SVR_RBF,LOG1P,6,0.727104,0.60118,0.509394
Ni_num,M1_Core,SVR_RBF,LOG1P,7,0.191666,2.086083,1.52759
Ni_num,M1_Core,SVR_RBF,LOG1P,8,-0.061589,2.400784,1.246403
Ni_num,M1_Core,SVR_RBF,LOG1P,9,-7.867589,0.689382,0.511714
Ni_num,M1_Core,SVR_RBF,LOG1P,10,-0.699063,2.696466,1.919552
Ni_num,M1_Core,SVR_RBF,LOG1P,11,0.617152,0.553208,0.430431
Ni_num,M1_Core,SVR_RBF,LOG1P,12,0.580564,1.517811,0.941421
Ni_num,M1_Core,SVR_RBF,LOG1P,13,0.157615,2.388498,1.564191
Ni_num,M1_Core,SVR_RBF,LOG1P,14,-0.348672,2.504935,1.755918
