parameter,unit,bd_standard,bd_exceedance_pct,who_standard,who_exceedance_pct,compliance_status
Arsenic (As),ug/L,50.0,0.0,10.0,10.0,HIGH_COMPLIANCE
Iron (Fe),mg/L,1.0,22.5,0.3,37.5,PARTIAL_EXCEEDANCE
Manganese (Mn),mg/L,0.4,57.5,0.1,82.5,PARTIAL_EXCEEDANCE
Lead (Pb),ug/L,10.0,0.0,10.0,0.0,HIGH_COMPLIANCE
Nickel (Ni),ug/L,20.0,0.0,70.0,0.0,HIGH_COMPLIANCE
Zinc (Zn),ug/L,5000.0,0.0,3000.0,0.0,HIGH_COMPLIANCE
Cadmium (Cd),ug/L,5.0,0.0,3.0,0.0,HIGH_COMPLIANCE
Chromium (Cr),ug/L,50.0,0.0,50.0,0.0,HIGH_COMPLIANCE
Copper (Cu),ug/L,1000.0,0.0,2000.0,0.0,HIGH_COMPLIANCE
