metal_1,metal_2,spearman_rho,raw_p_value,fdr_adjusted_p_value,is_statistically_significant,abs_rho
Lead (Pb),Cadmium (Cd),0.7038,4.0662518770930094e-07,0.0,True,0.7038
Chromium (Cr),Copper (Cu),0.49,0.0013315342011162173,0.024,True,0.49
