target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
As_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,RAW,40,-17.4045,-0.3987,65.3046,6.633,4.2934,-0.0911,0,0.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,LOG1P,40,-1.6579,-0.1285,6.0867,5.6635,2.9315,-0.1264,2,8.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,RAW,40,-18.3458,-0.5368,68.9422,6.7275,4.3774,-0.124,0,0.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,LOG1P,40,-12.6209,-0.2079,55.4254,6.341,3.3272,-0.099,3,12.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,RAW,40,-17.4756,-0.383,66.6549,6.6016,4.2788,-0.0992,0,0.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,LOG1P,40,-3.0849,-0.1378,12.1049,5.7583,3.0018,-0.1188,3,12.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,RAW,40,-0.2752,-0.1805,0.4732,5.6446,2.6599,0.2122,4,16.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,LOG1P,40,-0.4162,-0.1713,1.2291,5.64,2.6611,0.2942,4,16.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,RAW,40,-19.4309,-0.4406,72.2834,6.6877,4.3535,-0.0696,0,0.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,LOG1P,40,-3.4209,-0.2102,12.1806,5.8251,3.0661,-0.09,3,12.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,RAW,40,-16.8527,-0.4169,59.4569,6.6122,4.3575,-0.117,0,0.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,LOG1P,40,-1.6967,-0.1798,6.1112,5.6707,2.9405,-0.1322,2,8.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,RAW,40,-17.0181,-0.4859,59.5326,6.7774,4.473,-0.1479,0,0.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,LOG1P,40,-10.4838,-0.281,44.6021,6.3926,3.3915,-0.1699,2,8.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,RAW,40,-16.537,-0.4031,59.4786,6.5959,4.3289,-0.1101,0,0.0
As_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,LOG1P,40,-3.1206,-0.2055,12.1187,5.7637,3.0121,-0.1178,4,16.0
Fe_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,RAW,40,-0.7653,-0.2227,2.7781,2.7689,1.4211,0.1385,6,24.0
