metal,column,unit,effective_N,mean,median,sd,min,max,iqr,cv_percent,skewness,bd_standard,bd_exceedance_count,bd_exceedance_pct,who_standard,who_exceedance_count,who_exceedance_pct,max_to_median_ratio
Arsenic (As),As_num,ug/L,40,2.98,0.6,6.6275,0.25,28.7,1.5,222.4,3.0844,50.0,0,0.0,10.0,4,10.0,47.83
Iron (Fe),Fe_num,mg/L,40,1.383,0.178,3.4812,0.014,19.6,0.9398,251.72,4.054,1.0,9,22.5,0.3,15,37.5,110.11
Manganese (Mn),Mn_num,mg/L,40,0.795,0.485,1.1057,0.008,6.2,0.6462,139.07,3.2029,0.4,23,57.5,0.1,33,82.5,12.78
Lead (Pb),Pb_num,ug/L,40,0.83,0.43,1.2694,0.16,7.58,0.59,152.94,4.0709,10.0,0,0.0,10.0,0,0.0,17.63
Nickel (Ni),Ni_num,ug/L,40,2.515,1.65,2.036,0.5,8.9,2.225,80.96,1.6533,20.0,0,0.0,70.0,0,0.0,5.39
Zinc (Zn),Zn_num,ug/L,35,23.9143,16.0,23.2788,3.0,96.0,11.5,97.34,2.0003,5000.0,0,0.0,3000.0,0,0.0,6.0
Cadmium (Cd),Cd_num,ug/L,40,0.105,0.07,0.123,0.01,0.66,0.095,117.18,2.738,5.0,0,0.0,3.0,0,0.0,9.43
Chromium (Cr),Cr_num,ug/L,40,0.3288,0.25,0.3789,0.25,2.6,0.0,115.26,5.6179,50.0,0,0.0,50.0,0,0.0,10.4
Copper (Cu),Cu_num,ug/L,40,0.7375,0.5,0.6096,0.5,4.0,0.5,82.66,4.185,1000.0,0,0.0,2000.0,0,0.0,8.0
