target,track,N,missing,minimum,maximum,mean,median,SD,IQR,skewness,coefficient_of_variation,max_median_ratio,log1p_eligible
As_num,Track 1,40,0,0.25,28.7,2.9800000000000004,0.6,6.627456487007628,1.5,3.084367593861124,2.223978686915311,47.833333333333336,True
Fe_num,Track 1,40,0,0.014,19.6,1.382975,0.178,3.4811730817355233,0.93975,4.054035927841444,2.5171626976160257,110.1123595505618,True
Mn_num,Track 1,40,0,0.008,6.2,0.79505,0.485,1.105709215495091,0.64625,3.202911414732689,1.3907417338470422,12.783505154639176,True
Pb_num,Track 1,40,0,0.16,7.58,0.8300000000000001,0.43,1.2693628524901976,0.5900000000000001,4.070933194026212,1.5293528343255391,17.627906976744185,True
Ni_num,Track 1,40,0,0.5,8.9,2.515,1.65,2.0360280588465023,2.2249999999999996,1.6532540811841223,0.8095539001377742,5.3939393939393945,True
Zn_num,Track 1,35,5,3.0,96.0,23.914285714285715,16.0,23.278835917645715,11.5,2.000305061076643,0.9734280252301075,6.0,True
HPI,Track 2,40,0,6.35425607050842,319.33359594934694,58.5591510987098,32.04087110925423,71.19321064168874,56.16372268146865,2.404662108301397,1.2157486798550483,9.966445508315632,True
HEI,Track 2,40,0,0.4495238095238095,90.89709523809525,12.98432023809524,6.1737142857142855,17.799739334252777,11.949261904761904,2.8253950476520546,1.3708641659984153,14.72324293471554,True
WQI,Track 2,40,0,5.005176928445762,132.01162154810496,32.947224517925896,26.09314463004342,27.74533678362309,20.341231420153772,2.1933821603577686,0.8421145389204919,5.059245384939458,True
Cd,Track 2,40,0,-5.55047619047619,84.89709523809523,6.984320238095238,0.17371428571428532,17.799739334252777,11.949261904761906,2.825395047652055,2.54852852209811,488.7168311403519,False
