target,input_set_id,input_set_name,model,transformation,fold_idx,r2,rmse,mae
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,4,-1.484244,2.750015,2.222037
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,5,-0.099098,9.579479,5.009976
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,6,-0.268416,4.347246,3.259118
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,7,-2.613357,3.247687,2.712557
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,8,-0.408622,5.58503,4.248554
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,9,-4.140484,2.884503,2.569033
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,10,-0.221164,13.272331,7.579457
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,11,-4.13501,2.466085,1.998044
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,12,-0.272199,6.422167,4.389838
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,13,-0.037473,9.395129,4.597238
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,14,-0.005852,8.99045,4.964864
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,15,-5.060243,2.994816,2.830368
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,16,-0.330037,2.018523,1.672178
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,17,-51.487724,4.180523,3.839914
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,18,-0.067892,9.535705,4.883703
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,19,-0.123337,9.77555,5.438939
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,20,-0.252317,5.479653,3.893554
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,21,-2.188487,2.31205,2.043852
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,22,-0.17823,5.338807,4.046488
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,23,0.000674,9.017286,4.724112
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,24,-0.496781,4.64777,3.671599
As_num,E1,E1_Min2_FieldOnly,PLS,RAW,25,-0.052903,9.496897,5.075445
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,1,-19.542551,1.266841,1.207096
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,2,-0.244137,10.774012,5.647014
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,3,-0.125684,4.104151,2.08038
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,4,0.134069,1.623602,1.162204
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,5,-0.15073,9.801902,4.459787
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,6,-0.125069,4.094237,2.231407
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,7,0.051891,1.663596,1.393566
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,8,-0.211161,5.1788,2.394408
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,9,-0.259884,1.42802,1.225602
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,10,-0.277535,13.575213,7.17183
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,11,0.312687,0.902225,0.81146
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,12,-0.379953,6.688617,4.131173
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,13,-0.095436,9.654015,4.180009
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,14,-0.093171,9.372568,3.804284
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,15,-0.376624,1.427358,1.248458
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,16,0.076082,1.682358,1.203875
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,17,-8.32099,1.761703,1.631125
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,18,-0.124088,9.783387,4.340108
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,19,-0.238317,10.263656,5.0322
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,20,-0.123962,5.191248,2.537376
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,21,-0.159069,1.393989,1.174518
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,22,-0.089921,5.134836,2.508675
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,23,-0.083089,9.387593,3.8851
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,24,-0.269967,4.281163,2.52416
As_num,E1,E1_Min2_FieldOnly,PLS,LOG1P,25,-0.095462,9.686928,4.140374
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,1,-164.684129,3.597787,3.461071
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,2,-0.159131,10.399431,6.157199
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,3,-0.108182,4.07212,2.922719
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,4,-1.279711,2.634376,2.203316
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,5,-0.10293,9.596161,4.951808
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,6,-0.244018,4.305235,3.231551
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,7,-2.514886,3.203129,2.715907
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,8,-0.377207,5.5224,4.161942
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,9,-3.934096,2.826004,2.552725
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,10,-0.217841,13.254263,7.572463
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,11,-3.68813,2.356336,1.999262
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,12,-0.267298,6.409787,4.383747
