target,model,train_R2_mean,OOF_R2_mean,generalization_gap_R2,train_RMSE_mean,OOF_RMSE_mean,RMSE_ratio,overfitting_risk
Zn_num,HuberRegressor,-0.0799,-0.3268,0.2469,23.5666,26.3737,1.1191,MODERATE
Zn_num,RandomForest,0.5211,-0.6674,1.1886,15.6852,29.564,1.8848,HIGH
Zn_num,ExtraTrees,0.238,-0.5274,0.7654,19.7877,28.1292,1.4216,HIGH
Zn_num,GradientBoosting,0.6265,-0.647,1.2736,13.9001,29.3824,2.1138,HIGH
Zn_num,HistGradientBoosting,0.0,-0.0933,0.0933,22.6524,23.9825,1.0587,LOW
Cr_num,Dummy_Median,-0.0512,-0.0443,-0.0069,0.3578,0.3823,1.0686,LOW
Cr_num,LinearRegression,0.2188,-0.3661,0.5848,0.3072,0.4355,1.4178,HIGH
Cr_num,Ridge,0.1998,-0.23,0.4299,0.3106,0.4143,1.3337,HIGH
Cr_num,Lasso,0.0,-0.058,0.058,0.349,0.3848,1.1027,LOW
Cr_num,ElasticNet,0.0,-0.058,0.058,0.349,0.3848,1.1027,LOW
Cr_num,HuberRegressor,-0.0512,-0.0443,-0.0069,0.3578,0.3823,1.0686,LOW
Cr_num,RandomForest,0.7236,-0.7799,1.5035,0.1861,0.4979,2.6755,HIGH
Cr_num,ExtraTrees,0.6243,-0.626,1.2502,0.2074,0.4738,2.2843,HIGH
Cr_num,GradientBoosting,0.9239,-0.9435,1.8674,0.086,0.5175,6.0176,HIGH
Cr_num,HistGradientBoosting,0.0,-0.058,0.058,0.349,0.3848,1.1027,LOW
Cu_num,Dummy_Median,-0.1761,-0.1557,-0.0204,0.6321,0.6471,1.0237,LOW
Cu_num,LinearRegression,0.2638,-0.4882,0.752,0.4998,0.7318,1.4643,HIGH
Cu_num,Ridge,0.2069,-0.2138,0.4207,0.5206,0.6628,1.2731,HIGH
Cu_num,Lasso,0.0126,-0.0491,0.0617,0.5831,0.6165,1.0574,LOW
Cu_num,ElasticNet,0.0164,-0.0556,0.072,0.5825,0.6184,1.0618,LOW
Cu_num,HuberRegressor,0.0147,-0.095,0.1097,0.5822,0.6298,1.0818,LOW
Cu_num,RandomForest,0.8498,-0.0581,0.9078,0.2235,0.6189,2.7692,HIGH
Cu_num,ExtraTrees,0.8702,0.0351,0.835,0.2014,0.5912,2.9363,HIGH
Cu_num,GradientBoosting,0.8666,-0.0561,0.9226,0.2124,0.6185,2.9119,HIGH
Cu_num,HistGradientBoosting,0.0,-0.0432,0.0432,0.5853,0.6148,1.0504,LOW
