actual,predicted,abs_residual
0.28,0.4072103422031693,0.1272103422031693
0.19,0.059420128575289076,0.13057987142471092
0.27,0.17718043825671992,0.0928195617432801
0.12,0.2263572128105415,0.1063572128105415
0.12,0.19268363803778715,0.07268363803778716
0.66,0.45846142392916517,0.20153857607083486
0.16,0.1938555928984754,0.033855592898475395
0.14,0.03341759297248847,0.10658240702751154
0.08,0.11489986488091866,0.03489986488091866
0.06,0.06752582656491672,0.007525826564916724
0.02,0.059243455535546864,0.03924345553554687
0.39,0.38173741715092085,0.008262582849079159
0.06,0.06721008495180959,0.007210084951809595
0.15,0.1770160688704594,0.027016068870459403
0.09,0.051071904876370165,0.03892809512362983
0.2,0.14719073815559797,0.052809261844402045
0.08,0.0667298435371545,0.013270156462845503
0.07,0.01645625911786105,0.05354374088213895
0.01,0.06347402528780718,0.05347402528780718
0.05,0.10762796428800452,0.05762796428800451
0.16,0.05162869639139143,0.10837130360860858
0.11,0.1457473342316403,0.035747334231640296
0.08,0.06466971696183557,0.01533028303816443
0.01,0.08188868396805415,0.07188868396805416
0.05,0.05795090892126821,0.007950908921268207
0.01,0.051726337030056246,0.041726337030056244
0.03,-0.20937862017007808,0.23937862017007808
0.01,0.044778678157679226,0.034778678157679224
0.01,0.040519613515472175,0.030519613515472173
0.02,0.09600061128505015,0.07600061128505015
0.03,0.036404240252801645,0.006404240252801646
0.03,0.026779576766728718,0.003220423233271281
0.11,0.044800120309739316,0.06519987969026068
0.06,0.07725001116364545,0.017250011163645454
0.06,0.0725660083065762,0.012566008306576198
0.03,0.06603303786117147,0.03603303786117147
0.02,0.024774478641775642,0.004774478641775642
0.07,0.057128813053569226,0.01287118694643078
0.09,0.0996090960049334,0.009609096004933398
0.01,0.05533899602601181,0.04533899602601181
