actual,predicted,residual,abs_residual
0.06,0.4935428430914202,-0.4335428430914202,0.4335428430914202
6.21,0.4363358612846902,5.77366413871531,5.77366413871531
0.24,0.5329744508495499,-0.2929744508495499,0.2929744508495499
1.38,0.7515162351276015,0.6284837648723984,0.6284837648723984
0.17,0.5220573987441838,-0.35205739874418374,0.35205739874418374
0.293,0.24626474868698955,0.04673525131301043,0.04673525131301043
0.027,0.2075691213448554,-0.1805691213448554,0.1805691213448554
1.65,0.3976315830348603,1.2523684169651397,1.2523684169651397
0.224,0.46061104467585584,-0.23661104467585584,0.23661104467585584
0.356,0.5814633119517313,-0.2254633119517313,0.2254633119517313
0.837,0.7977932111026025,0.03920678889739748,0.03920678889739748
0.271,0.39163541062897417,-0.12063541062897415,0.12063541062897415
0.018,0.8087880464498086,-0.7907880464498086,0.7907880464498086
0.988,0.5565613375178078,0.4314386624821922,0.4314386624821922
9.07,0.42331593958661495,8.646684060413385,8.646684060413385
0.182,0.41582553758060126,-0.23382553758060126,0.23382553758060126
2.13,0.3843546888017341,1.7456453111982657,1.7456453111982657
0.084,0.3837701094450918,-0.2997701094450918,0.2997701094450918
0.054,0.3069284675237728,-0.2529284675237728,0.2529284675237728
0.016,0.4991609024277288,-0.4831609024277288,0.4831609024277288
0.976,0.27088231889117487,0.7051176811088251,0.7051176811088251
0.04,0.1572690575110242,-0.1172690575110242,0.1172690575110242
0.023,0.27390841556865725,-0.25090841556865723,0.25090841556865723
0.08,0.3876055564783639,-0.3076055564783639,0.3076055564783639
0.354,0.2908165378241039,0.0631834621758961,0.0631834621758961
1.24,0.22743547354833643,1.0125645264516636,1.0125645264516636
0.03,0.34175185376767303,-0.311751853767673,0.311751853767673
0.174,0.4383049685856431,-0.2643049685856431,0.2643049685856431
0.014,0.11061670331569591,-0.09661670331569591,0.09661670331569591
0.03,0.28425769729621203,-0.25425769729621206,0.25425769729621206
0.032,0.13508297583723392,-0.10308297583723391,0.10308297583723391
0.037,0.20326566798301055,-0.16626566798301054,0.16626566798301054
0.036,0.17831883651822228,-0.14231883651822227,0.14231883651822227
3.99,0.40623577336910294,3.583764226630897,3.583764226630897
0.397,0.4966587837371857,-0.09965878373718567,0.09965878373718567
0.044,-0.012881697322679502,0.0568816973226795,0.0568816973226795
0.151,0.23806109030323755,-0.08706109030323755,0.08706109030323755
0.061,0.20399832432674328,-0.14299832432674328,0.14299832432674328
3.75,0.10023677802799882,3.6497632219720013,3.6497632219720013
19.6,0.2853723802566514,19.31462761974335,19.31462761974335
