actual,predicted,abs_residual
1.0,0.12589575143905518,0.8741042485609448
2.2,1.3213075968542802,0.87869240314572
1.1,0.891034388349168,0.20896561165083205
0.25,0.9617726082408392,0.7117726082408392
0.25,0.7965207517493624,0.5465207517493624
0.8,-0.3219786322465081,1.1219786322465082
0.25,0.6877340414821163,0.43773404148211625
0.8,1.3272545911730131,0.5272545911730131
0.9,0.9480575749044521,0.04805757490445206
0.25,1.2160126957793358,0.9660126957793358
1.9,1.1791958410558965,0.7208041589441034
0.25,0.2576302379045184,0.007630237904518389
0.25,1.1607710927405939,0.9107710927405939
0.25,1.0030138710653518,0.7530138710653518
4.0,1.242405106893756,2.757594893106244
0.25,1.4731376678384727,1.2231376678384727
0.6,1.3111385233572348,0.7111385233572348
0.25,1.72530027462365,1.47530027462365
0.25,1.3947102242521274,1.1447102242521274
0.25,1.3210887130896813,1.0710887130896813
0.25,1.4763889636666987,1.2263889636666987
0.25,1.5720309165593946,1.3220309165593946
0.25,1.1571251880915931,0.9071251880915931
0.5,1.1598369851842054,0.6598369851842054
0.5,0.957747441568193,0.457747441568193
1.0,1.1775098762821412,0.1775098762821412
0.6,3.992701182699997,3.392701182699997
0.5,1.5013614432855564,1.0013614432855564
1.7,1.8196425787751678,0.11964257877516782
0.25,3.191873017617204,2.941873017617204
5.5,2.3331730525894026,3.1668269474105974
0.25,3.6975325336286424,3.4475325336286424
0.9,1.9754402265498876,1.0754402265498877
12.3,1.051882493206724,11.248117506793276
15.4,1.0520752785012455,14.347924721498755
3.5,2.6025632703711157,0.8974367296288843
1.9,2.0711093274788994,0.1711093274788995
1.1,2.561827530496198,1.461827530496198
28.7,1.5087832427923942,27.191216757207606
27.8,0.5991365802576347,27.200863419742365
