actual,predicted,residual,abs_residual
0.28,0.3347347221396212,-0.05473472213962116,0.05473472213962116
0.19,0.06032284168438273,0.12967715831561727,0.12967715831561727
0.27,0.15905199839532844,0.11094800160467158,0.11094800160467158
0.12,0.19600393028854116,-0.07600393028854116,0.07600393028854116
0.12,0.16501396135060842,-0.04501396135060842,0.04501396135060842
0.66,0.34777333802830723,0.3122266619716928,0.3122266619716928
0.16,0.1411156923942473,0.018884307605752715,0.018884307605752715
0.14,0.04957385483489464,0.09042614516510537,0.09042614516510537
0.08,0.10543290608094287,-0.02543290608094287,0.02543290608094287
0.06,0.06924495088007251,-0.009244950880072517,0.009244950880072517
0.02,0.07355247542685397,-0.05355247542685397,0.05355247542685397
0.39,0.28942516959360376,0.10057483040639625,0.10057483040639625
0.06,0.0679906517129629,-0.007990651712962898,0.007990651712962898
0.15,0.16480727504872733,-0.014807275048727336,0.014807275048727336
0.09,0.05827372302782731,0.03172627697217269,0.03172627697217269
0.2,0.14170468255079352,0.05829531744920649,0.05829531744920649
0.08,0.06847971874696383,0.011520281253036169,0.011520281253036169
0.07,0.058083560501960375,0.011916439498039631,0.011916439498039631
0.01,0.06250891735394717,-0.05250891735394717,0.05250891735394717
0.05,0.10592432094085888,-0.055924320940858877,0.055924320940858877
0.16,0.051408665684784374,0.10859133431521563,0.10859133431521563
0.11,0.14891233041843693,-0.03891233041843693,0.03891233041843693
0.08,0.06130709736758745,0.01869290263241255,0.01869290263241255
0.01,0.07266063433815677,-0.06266063433815677,0.06266063433815677
0.05,0.0639676708521983,-0.0139676708521983,0.0139676708521983
0.01,0.055071003490587814,-0.04507100349058781,0.04507100349058781
0.03,-0.05908082276986141,0.0890808227698614,0.0890808227698614
0.01,0.053037236731582046,-0.043037236731582044,0.043037236731582044
0.01,0.04326608805010094,-0.033266088050100937,0.033266088050100937
0.02,0.05867384387843314,-0.038673843878433145,0.038673843878433145
0.03,0.03820821341472481,-0.008208213414724809,0.008208213414724809
0.03,0.050491773045996016,-0.020491773045996017,0.020491773045996017
0.11,0.041484889737506095,0.0685151102624939,0.0685151102624939
0.06,0.06951592334170409,-0.009515923341704091,0.009515923341704091
0.06,0.06567030360890047,-0.005670303608900473,0.005670303608900473
0.03,0.04887556477288448,-0.018875564772884483,0.018875564772884483
0.02,0.03699726442251529,-0.016997264422515288,0.016997264422515288
0.07,0.05395196445839925,0.01604803554160076,0.01604803554160076
0.09,0.06577925954133072,0.024220740458669274,0.024220740458669274
0.01,0.05075222799452672,-0.04075222799452672,0.04075222799452672
