actual,predicted,abs_residual
1.1,1.6865413921726593,0.5865413921726592
1.0,1.0293709122281403,0.029370912228140256
1.4,1.1768233739676965,0.22317662603230337
0.8,0.8105729416257942,0.010572941625794141
1.0,1.2305183316406543,0.23051833164065427
1.7,1.7118372458615159,0.01183724586151591
0.9,1.6031186890806624,0.7031186890806623
1.3,1.483931203710163,0.18393120371016303
3.3,1.350512576900077,1.9494874230999228
0.7,1.2183963361686032,0.5183963361686033
0.8,1.2788471595107112,0.4788471595107111
1.2,1.782048960203521,0.582048960203521
0.5,0.9568308371624678,0.45683083716246775
2.4,0.808155796176963,1.591844203823037
1.3,0.8681394079540524,0.4318605920459476
3.0,2.05894650920555,0.9410534907944501
2.0,1.2365951504942756,0.7634048495057244
1.5,2.4332427154992047,0.9332427154992047
1.1,1.6605657888970782,0.5605657888970781
1.5,1.6879152419830548,0.18791524198305476
1.6,1.2892815410755127,0.31071845892448735
7.5,2.6096226154263027,4.890377384573697
1.1,1.0825748696126867,0.017425130387313414
2.1,0.9301847235720164,1.1698152764279837
8.0,0.884810957836023,7.115189042163977
2.1,2.0345812002280046,0.0654187997719955
3.4,4.2075076155997655,0.8075076155997656
1.5,1.6927291171231036,0.1927291171231036
4.5,4.316262121585664,0.18373787841433575
3.5,3.877812178843709,0.3778121788437092
5.5,4.885218639972494,0.6147813600275063
4.7,5.020297149767159,0.32029714976715873
3.9,3.184434797464111,0.7155652025358887
1.0,1.3465381176579505,0.3465381176579505
1.0,1.2808392246549958,0.2808392246549958
3.1,3.5909007331035263,0.4909007331035262
8.9,3.1802548619915543,5.719745138008446
3.0,3.019416413181959,0.01941641318195897
3.5,3.927501290835327,0.42750129083532684
2.2,1.8396568131741269,0.3603431868258733
