actual,predicted,residual,abs_residual
1.1,1.4302819605131358,-0.33028196051313574,0.33028196051313574
1.0,1.4195515207193175,-0.41955152071931745,0.41955152071931745
1.4,1.2297393680670352,0.1702606319329647,0.1702606319329647
0.8,1.1905992580366167,-0.39059925803661666,0.39059925803661666
1.0,1.3822428244315828,-0.38224282443158275,0.38224282443158275
1.7,1.3779369994255255,0.32206300057447446,0.32206300057447446
0.9,1.486247749548438,-0.5862477495484381,0.5862477495484381
1.3,1.6533699232039958,-0.35336992320399574,0.35336992320399574
3.3,1.3813569114992383,1.9186430885007615,1.9186430885007615
0.7,1.4781917195395966,-0.7781917195395966,0.7781917195395966
0.8,1.4372502747470546,-0.6372502747470545,0.6372502747470545
1.2,1.4942834640667408,-0.2942834640667409,0.2942834640667409
0.5,1.179099876237976,-0.6790998762379761,0.6790998762379761
2.4,0.9535476314059318,1.446452368594068,1.446452368594068
1.3,1.1578956262813587,0.14210437371864137,0.14210437371864137
3.0,2.055312256772948,0.944687743227052,0.944687743227052
2.0,1.425771868512606,0.574228131487394,0.574228131487394
1.5,2.4680043447432727,-0.9680043447432727,0.9680043447432727
1.1,1.801500137527805,-0.7015001375278049,0.7015001375278049
1.5,1.7628789681324233,-0.2628789681324233,0.2628789681324233
1.6,1.5357390314474668,0.06426096855253327,0.06426096855253327
7.5,2.4827896173161337,5.017210382683866,5.017210382683866
1.1,1.2270023102678655,-0.12700231026786546,0.12700231026786546
2.1,1.1089740091981521,0.991025990801848,0.991025990801848
8.0,1.0117460122797388,6.988253987720261,6.988253987720261
2.1,2.0248016615891418,0.07519833841085832,0.07519833841085832
3.4,4.187307317337707,-0.787307317337707,0.787307317337707
1.5,1.8116106448297746,-0.31161064482977463,0.31161064482977463
4.5,4.0831605232048105,0.4168394767951895,0.4168394767951895
3.5,3.8578948715858017,-0.3578948715858017,0.3578948715858017
5.5,4.5588780238123245,0.9411219761876755,0.9411219761876755
4.7,4.592864050574419,0.10713594942558125,0.10713594942558125
3.9,3.2567465622454934,0.6432534377545065,0.6432534377545065
1.0,1.4709035071255132,-0.4709035071255132,0.4709035071255132
1.0,1.3670881134823722,-0.36708811348237225,0.36708811348237225
3.1,3.8656475669621897,-0.7656475669621896,0.7656475669621896
8.9,3.186053773568064,5.713946226431936,5.713946226431936
3.0,3.2853347359543044,-0.28533473595430436,0.28533473595430436
3.5,3.7732416575917953,-0.2732416575917953,0.2732416575917953
2.2,1.82367410421218,0.37632589578782016,0.37632589578782016
