actual,predicted,abs_residual
0.06,0.28196622312878655,0.22196622312878656
6.21,0.4594929284036525,5.750507071596347
0.24,0.5765129726393592,0.3365129726393592
1.38,0.8397019567430958,0.5402980432569041
0.17,0.5383310777330375,0.3683310777330374
0.293,-0.057360732434316955,0.3503607324343169
0.027,-0.19374426569665198,0.22074426569665198
1.65,0.42440402267443356,1.2255959773255665
0.224,0.4229263237711905,0.1989263237711905
0.356,0.5413355300560518,0.18533553005605186
0.837,0.9182426644869481,0.08124266448694817
0.271,0.2606452460189372,0.010354753981062836
0.018,0.7567480126419847,0.7387480126419846
0.988,0.6310925749066365,0.3569074250933635
9.07,0.4481789941115849,8.621821005888416
0.182,0.17199678684557054,0.010003213154429452
2.13,0.4024732295655181,1.7275267704344817
0.084,0.4024366548117051,0.3184366548117051
0.054,0.36668733780866847,0.3126873378086685
0.016,0.2814915707910507,0.2654915707910507
0.976,0.2873289884235085,0.6886710115764915
0.04,-0.09694808969292504,0.13694808969292505
0.023,0.2961563210166413,0.2731563210166413
0.08,0.339261469414298,0.259261469414298
0.354,0.2623130548768017,0.0916869451231983
1.24,0.20854561167718083,1.031454388322819
0.03,0.1271052543807217,0.0971052543807217
0.174,0.3592955991660036,0.18529559916600363
0.014,0.13162550871099057,0.11762550871099058
0.03,0.34564481982387674,0.3156448198238767
0.032,-0.07497929008611089,0.10697929008611089
0.037,-0.06780270299284911,0.1048027029928491
0.036,0.2660594155198347,0.2300594155198347
3.99,0.3869789939512504,3.60302100604875
0.397,0.5378420818813704,0.14084208188137037
0.044,0.33623280365888786,0.2922328036588879
0.151,0.36976141118310885,0.21876141118310885
0.061,0.34034112889025314,0.27934112889025314
3.75,0.07549086487744887,3.674509135122551
19.6,0.2676722543667295,19.332327745633272
