target,candidate_model,OOF_R2_mean,OOF_R2_SD,OOF_RMSE_mean,OOF_RMSE_SD,OOF_MAE_mean,OOF_MAE_SD,Spearman_mean,Spearman_SD
Mn_num,GradientBoosting,-0.2105,0.0869,1.2005,0.0426,0.7356,0.039,0.1582,0.1025
Mn_num,HistGradientBoosting,-0.0457,0.0254,1.1164,0.0135,0.7098,0.0133,-0.147,0.1121
Zn_num,Dummy_Median,-0.1514,0.0311,24.6168,0.3323,13.9971,0.2238,-0.3319,0.135
Zn_num,LinearRegression,-0.5742,0.2734,28.6813,2.4599,20.2902,1.7476,-0.4503,0.1283
Zn_num,Ridge,-0.3973,0.1784,27.0679,1.7038,19.1237,1.3343,-0.4428,0.1423
Zn_num,Lasso,-0.4202,0.2189,27.2642,2.0708,19.1522,1.5425,-0.4483,0.1449
Zn_num,ElasticNet,-0.3196,0.1421,26.32,1.3955,18.5533,1.1728,-0.4584,0.1535
Zn_num,HuberRegressor,-0.3268,0.172,26.3737,1.6955,16.0287,1.7456,-0.4726,0.077
Zn_num,RandomForest,-0.6674,0.2188,29.564,1.9334,21.5708,1.6096,-0.2922,0.1521
Zn_num,ExtraTrees,-0.5274,0.411,28.1292,3.5793,19.5709,2.075,-0.3379,0.1708
Zn_num,GradientBoosting,-0.647,0.2139,29.3824,1.9222,20.5462,1.8835,-0.2925,0.1608
Zn_num,HistGradientBoosting,-0.0933,0.0562,23.9825,0.6117,16.598,0.4028,-0.2369,0.2201
Cr_num,Dummy_Median,-0.0443,0.0,0.3823,0.0,0.0788,0.0,0.0,0.0
Cr_num,LinearRegression,-0.3661,0.2399,0.4355,0.0394,0.1785,0.0232,0.0453,0.1009
Cr_num,Ridge,-0.23,0.1363,0.4143,0.0233,0.1622,0.0173,0.0693,0.0807
Cr_num,Lasso,-0.058,0.0117,0.3848,0.0021,0.1494,0.0021,-0.2724,0.073
Cr_num,ElasticNet,-0.058,0.0117,0.3848,0.0021,0.1494,0.0021,-0.2724,0.073
Cr_num,HuberRegressor,-0.0443,0.0,0.3823,0.0,0.0788,0.0,-0.0375,0.1069
Cr_num,RandomForest,-0.7799,0.2461,0.4979,0.0354,0.1701,0.0112,-0.2444,0.0654
Cr_num,ExtraTrees,-0.626,0.3629,0.4738,0.0555,0.1669,0.0294,-0.1513,0.0934
Cr_num,GradientBoosting,-0.9435,0.458,0.5175,0.0653,0.1741,0.0294,-0.2789,0.0615
Cr_num,HistGradientBoosting,-0.058,0.0117,0.3848,0.0021,0.1494,0.0021,-0.2724,0.073
Cu_num,Dummy_Median,-0.1557,0.0,0.6471,0.0,0.2375,0.0,0.0,0.0
Cu_num,LinearRegression,-0.4882,0.2541,0.7318,0.0606,0.4366,0.0332,-0.0058,0.1102
Cu_num,Ridge,-0.2138,0.0862,0.6628,0.0233,0.3762,0.016,-0.0173,0.1038
Cu_num,Lasso,-0.0491,0.0089,0.6165,0.0026,0.3516,0.0041,-0.1692,0.066
Cu_num,ElasticNet,-0.0556,0.0159,0.6184,0.0047,0.3516,0.0042,-0.1677,0.0648
Cu_num,HuberRegressor,-0.095,0.0341,0.6298,0.0098,0.2727,0.0109,0.2187,0.1147
Cu_num,RandomForest,-0.0581,0.0597,0.6189,0.0173,0.2678,0.0144,0.3374,0.1682
Cu_num,ExtraTrees,0.0351,0.0224,0.5912,0.0069,0.2803,0.0071,0.5129,0.0554
Cu_num,GradientBoosting,-0.0561,0.0379,0.6185,0.0111,0.2941,0.0082,0.1225,0.1859
Cu_num,HistGradientBoosting,-0.0432,0.0134,0.6148,0.004,0.3491,0.0051,-0.1361,0.0962
