target,candidate_model,OOF_R2_mean,OOF_R2_SD,OOF_RMSE_mean,OOF_RMSE_SD,OOF_MAE_mean,OOF_MAE_SD,Spearman_mean,Spearman_SD,train_R2_mean,train_RMSE_mean,generalization_gap_R2,RMSE_ratio,complexity_score,mean_fit_time_sec,total_fits
As_num,Dummy_Median,-0.1345,0.0026,6.9704,0.0079,2.7285,0.0129,-0.325,0.0375,-0.1326,6.8229,0.0019,1.0216,0,0.0019,25
Cr_num,Dummy_Median,-0.0443,0.0,0.3823,0.0,0.0788,0.0,0.0,0.0,-0.0512,0.3578,-0.0069,1.0686,0,0.0021,25
Cu_num,Dummy_Median,-0.1557,0.0,0.6471,0.0,0.2375,0.0,0.0,0.0,-0.1761,0.6321,-0.0204,1.0237,0,0.0019,25
Fe_num,Dummy_Median,-0.1244,0.0004,3.6449,0.0006,1.3347,0.006,-0.315,0.0629,-0.1317,3.5426,-0.0073,1.0289,0,0.002,25
Mn_num,Dummy_Median,-0.0929,0.0149,1.1414,0.0078,0.6233,0.0094,-0.2169,0.1478,-0.0799,1.1142,0.013,1.0244,0,0.0021,25
Pb_num,Dummy_Median,-0.1135,0.0062,1.3226,0.0037,0.5954,0.0085,-0.2401,0.0428,-0.1127,1.282,0.0007,1.0317,0,0.0018,25
Zn_num,Dummy_Median,-0.1514,0.0311,24.6168,0.3323,13.9971,0.2238,-0.3319,0.135,-0.1246,24.0526,0.0268,1.0235,0,0.002,25
