config,model,mean_R2,median_R2,sd_R2,iqr_R2,mean_RMSE,mean_MAE,mean_Spearman,feature_count,target
M1_Core,ElasticNet,-1.2855553126114623,-0.10799759241165163,4.060827704547105,0.19446152133174777,5.607151633065758,2.927316954525553,0.11281738386958681,5,As_num
M1_Core,ExtraTrees,-1.8180467505793887,-0.18550762897672035,5.6641463792615125,0.15027441707776545,5.76268028215959,3.0916085520857486,-0.010845211292384782,5,As_num
M1_Core,GradientBoosting,-4.137767159333016,-0.2561054179314486,12.263985180037855,1.493562386801128,6.189779148244781,3.363984189849424,-0.006843995904236188,5,As_num
M1_Core,HuberRegressor,-0.9776544436502784,-0.2044464063890281,3.11347188723401,0.17997584236111397,5.745896111585125,2.8778356682123967,-0.056231174770274214,5,As_num
M1_Core,Lasso,-0.9729455980622399,-0.11071892309209064,3.0882333134271116,0.20906697779200645,5.589576106193382,2.885744831182501,0.10194024374960958,5,As_num
M1_Core,RandomForest,-2.921151510145813,-0.2578180720260017,8.754729542382876,1.290508111799735,5.9414452285166295,3.2731066099543593,-0.03437819547688501,5,As_num
M1_Core,Ridge,-2.1573136048415704,-0.15003867401804682,6.824014666459092,0.2545799229763823,5.701041635434608,3.053234641571342,0.04111427327997491,5,As_num
M1_Core,SVR_RBF,-0.45996446545741376,-0.18648004073681745,1.1670808486225985,0.1782963609706778,5.708705315929897,2.7115454390841296,0.15041308988161972,5,As_num
M2_Core_Salinity,ElasticNet,-1.3070383376785266,-0.12950322930463432,4.0639779630767565,0.18815239799410866,5.612715196048715,2.9377334017299934,0.1102050767501861,6,As_num
M2_Core_Salinity,ExtraTrees,-2.775744265605372,-0.2076051318096035,8.244270276244109,0.3872038895255927,5.88544736851047,3.210726502062794,-0.0401222886564716,6,As_num
M2_Core_Salinity,GradientBoosting,-4.140567893554849,-0.2552229988626038,12.267465108971342,1.4943897548294467,6.200622992548452,3.382531091831957,-0.015420007046677186,6,As_num
M2_Core_Salinity,HuberRegressor,-1.1141416071433556,-0.2530084811089046,3.4184061425634176,0.2118546567950481,5.8124589922771,2.9803283959573514,-0.1859205495826306,6,As_num
M2_Core_Salinity,Lasso,-1.0215212111950962,-0.12184977879989978,3.172888985780607,0.19491057823404923,5.599024411332022,2.894907379480514,0.08237393970836356,6,As_num
M2_Core_Salinity,RandomForest,-2.7571990448205526,-0.267462677280383,8.312723749649859,1.0912579151699195,5.937997926005891,3.2595109752233054,-0.037161041164875494,6,As_num
M2_Core_Salinity,Ridge,-2.159144291512586,-0.24650157483475565,6.499600670197384,0.2678796862453876,5.757183179475976,3.1104178018158217,-0.038059749388654356,6,As_num
M2_Core_Salinity,SVR_RBF,-0.3634876014574575,-0.1820814382499676,0.9601757552788738,0.1648350910053209,5.67752304631826,2.688142419660202,0.19700019657373966,6,As_num
M3_Core_IonRatios,ElasticNet,-1.3171891812502352,-0.10899579307250584,4.244461719296248,0.22350499477744812,5.547946667936665,2.93753402450682,0.20761497667055548,8,As_num
M3_Core_IonRatios,ExtraTrees,-2.020635591348859,-0.1670486615300295,6.504974778601284,0.3486778131054229,5.6933267461494665,3.0714825625996274,0.10780604353548917,8,As_num
M3_Core_IonRatios,GradientBoosting,-1.8016684583071187,-0.18007907876830798,4.216354670003894,0.9846803776758457,5.92228095080718,3.3035375971652003,0.018261063806097023,8,As_num
M3_Core_IonRatios,HuberRegressor,-1.115452743693517,-0.23510327861609093,3.521218822673235,0.21520548631622471,5.763449215113508,2.957244557667052,-0.01944330059878354,8,As_num
M3_Core_IonRatios,Lasso,-1.0548691440935967,-0.11625319608163354,3.550868171671907,0.1763584025856917,5.529861742414885,2.8734543325279818,0.2424723562813436,8,As_num
M3_Core_IonRatios,RandomForest,-1.249454576740679,-0.18908890110810983,3.373969562648521,0.4866491813907654,5.612645513336539,3.103802206762104,0.0152540079421787,8,As_num
M3_Core_IonRatios,Ridge,-2.076596859105306,-0.1880463151667151,6.576657775066299,0.21330607912026767,5.644109610625671,3.0997870708394286,0.11336680677586282,8,As_num
M3_Core_IonRatios,SVR_RBF,-0.5461529491827781,-0.18426210993152425,1.3215687582415907,0.17688987082309104,5.704359389390538,2.7646937096620126,0.10958995102252717,8,As_num
M4_Core_IonExchange,ElasticNet,-1.213444894649323,-0.09128604064299628,3.8920878414737134,0.18461161065823806,5.519522827270159,2.8801797900149153,0.15652667806290965,6,As_num
M4_Core_IonExchange,ExtraTrees,-2.444208438543688,-0.21379974278558445,7.077612622283151,0.3132752343924603,5.856301585753986,3.1393249212472627,0.02214667199028254,6,As_num
M4_Core_IonExchange,GradientBoosting,-4.946127581010075,-0.26289689564800045,16.94303910086616,2.318683168968897,6.207735602904578,3.352437177484693,-0.062275183824520505,6,As_num
M4_Core_IonExchange,HuberRegressor,-0.936854089569326,-0.18300229648486455,3.0525469486829406,0.18771778469777556,5.726600349713461,2.8941485987865594,-0.07853563275030485,6,As_num
M4_Core_IonExchange,Lasso,-0.928833010001807,-0.09201660636269038,2.9897714720910082,0.16898074827692589,5.504480499669313,2.826455927614195,0.2192667848902274,6,As_num
M4_Core_IonExchange,RandomForest,-2.504323829435661,-0.2652603464251506,7.239597570551615,0.9729090180983369,5.903386979039921,3.199142391100294,-0.053675046057962576,6,As_num
M4_Core_IonExchange,Ridge,-1.875474531762138,-0.16064743049782293,5.927316960086264,0.26718897184346857,5.628539890827573,3.0419486040944372,0.05381697235600792,6,As_num
M4_Core_IonExchange,SVR_RBF,-0.5803031783096075,-0.18614936674234506,1.592899610000531,0.19174435569750847,5.718149774747683,2.762561283106985,0.07425606443939682,6,As_num
M5_Core_DepthInteractions,ElasticNet,-1.8168100416035096,-0.13519833353759925,6.2913481230444255,0.21609440572032912,5.663684596160959,2.9882979249600594,0.14193377539192234,7,As_num
M5_Core_DepthInteractions,ExtraTrees,-2.251514836090115,-0.2564490926739176,6.7909451169012,0.37344224661165604,5.828595761177328,3.185594341488411,-0.0007190591703341332,7,As_num
M5_Core_DepthInteractions,GradientBoosting,-3.7900877629139846,-0.2906729314070935,11.212033126670043,1.5829653337279217,6.17235323854949,3.340767641115412,0.039722385510768836,7,As_num
M5_Core_DepthInteractions,HuberRegressor,-81.35384247995275,-0.29986108281293977,387.5605735528877,0.19977431688011382,7.55223091048392,3.6601334066610236,-0.008646736340980975,7,As_num
M5_Core_DepthInteractions,Lasso,-1.3429761255525574,-0.1487526504231742,4.758008288731021,0.21270899321386683,5.624819951885168,2.934900935234046,0.10970877732351716,7,As_num
M5_Core_DepthInteractions,RandomForest,-2.9925689024069264,-0.2596763407912257,8.893500636628437,1.0751633007139054,5.942278817875814,3.255606274710646,0.030748314155002718,7,As_num
M5_Core_DepthInteractions,Ridge,-6.076327656733906,-0.24420588790675524,24.07653560887013,0.38783310434698937,6.010029143165668,3.2495927973146723,0.04531246707913967,7,As_num
M5_Core_DepthInteractions,SVR_RBF,-0.4581908733746613,-0.1940384142885172,1.2301876989894938,0.1719352662924476,5.686980709753953,2.704970139656457,0.20266935818283613,7,As_num
M6_Core_AllHydrochemical,ElasticNet,-1.781864536842785,-0.12336300162794522,6.043634540102533,0.19150084969548686,5.580280476500978,2.9701288648223816,0.1637358334734455,10,As_num
M6_Core_AllHydrochemical,ExtraTrees,-1.4109375977382677,-0.18700184382499452,3.9877224029482194,0.41318952400356124,5.6852591622847335,3.061233114244591,0.03536625594181563,10,As_num
M6_Core_AllHydrochemical,GradientBoosting,-1.9097985968115383,-0.2784609808423484,5.194901805552826,0.5883280287707575,5.996779116898033,3.3628522355441954,-0.0659984026020423,10,As_num
M6_Core_AllHydrochemical,HuberRegressor,-9773.63670455659,-0.32982420299173865,48698.83607149456,0.2645880008851029,16.701216638616494,7.034355522081978,-0.03145839160547723,10,As_num
M6_Core_AllHydrochemical,Lasso,-1.192210197705063,-0.11386716983687406,4.002964730854008,0.161348116684495,5.538565013325933,2.8847582571559576,0.19563801792200167,10,As_num
M6_Core_AllHydrochemical,RandomForest,-1.2075320467173232,-0.19638075625000773,3.2745013365177758,0.5149236022172283,5.6324447553417984,3.1290909621388665,0.024836673762460713,10,As_num
M6_Core_AllHydrochemical,Ridge,-6.5229226155538615,-0.2703100443202817,26.626564732732138,0.5933086764086009,5.993192265671541,3.339044437363512,0.04245448559265091,10,As_num
M6_Core_AllHydrochemical,SVR_RBF,-0.39987273892823033,-0.1822715745780361,1.0448827727638699,0.16251718378668456,5.683761508903019,2.747591730218897,0.10728344941701973,10,As_num
M7_TargetSpecific_Selected,ElasticNet,-2.0032863935978806,-0.12462744609253518,7.019310337094268,0.19109979673165456,5.591599107171824,2.983306589401742,0.15885633310870284,7,As_num
