target,fold,config,model,transform,feature_count,r2,rmse,mae,spearman_rho
As_num,0,M1_Core,Ridge,LOG1P,5,-25.78644256972831,1.4466135716781356,1.322880040217785,0.49803920813282704
As_num,0,M1_Core,Lasso,LOG1P,5,-14.309657656974434,1.0936484830387876,1.0696950577859556,0.8045248746761052
As_num,0,M1_Core,ElasticNet,LOG1P,5,-17.28115942999874,1.1950797381224973,1.1529122564108794,0.5491201525567067
As_num,0,M1_Core,SVR_RBF,LOG1P,5,-2.183161969848412,0.4986827938627972,0.4327984294315496,0.5874308608746165
As_num,0,M1_Core,HuberRegressor,LOG1P,5,-4.3319695209475535,0.6454146874875828,0.5777123233283987,0.5874308608746165
As_num,0,M1_Core,RandomForest,LOG1P,5,-42.73379242197273,1.8484324529103264,1.5374931135298397,0.5746606247686465
As_num,0,M1_Core,ExtraTrees,LOG1P,5,-25.715866465392562,1.4447065679964681,1.2432814070211826,0.4724987359208872
As_num,0,M1_Core,GradientBoosting,LOG1P,5,-60.91302821230873,2.1993079204818864,1.7935609244468522,0.7023629858283459
As_num,0,M2_Core_Salinity,Ridge,LOG1P,6,-24.469650227893062,1.410608529698204,1.3216308968257477,0.3575666109671579
As_num,0,M2_Core_Salinity,Lasso,LOG1P,6,-14.404778485334424,1.0970407098957984,1.0756412469368815,0.7662141663581955
As_num,0,M2_Core_Salinity,ElasticNet,LOG1P,6,-16.973972276779126,1.1849964489928295,1.1509015663069735,0.8556058190999849
As_num,0,M2_Core_Salinity,SVR_RBF,LOG1P,6,-0.7702399166772433,0.3718870708839323,0.30235887053152505,0.676822513616406
As_num,0,M2_Core_Salinity,HuberRegressor,LOG1P,6,-5.000843259352844,0.6847013068759917,0.5874262586908345,0.4341880276029774
As_num,0,M2_Core_Salinity,RandomForest,LOG1P,6,-40.54527744636614,1.801589520535282,1.4879583704311772,0.5746606247686465
As_num,0,M2_Core_Salinity,ExtraTrees,LOG1P,6,-32.241431708811035,1.611516941349056,1.4234140297196811,0.6385118052984962
As_num,0,M2_Core_Salinity,GradientBoosting,LOG1P,6,-60.91302821230872,2.199307920481886,1.7935609244468522,0.7023629858283459
As_num,0,M3_Core_IonRatios,Ridge,LOG1P,8,-28.088210200402823,1.5074867899620568,1.4443875472692846,0.664052277510436
As_num,0,M3_Core_IonRatios,Lasso,LOG1P,8,-16.74461053788054,1.1774114396735473,1.1506685904847314,0.7023629858283459
As_num,0,M3_Core_IonRatios,ElasticNet,LOG1P,8,-18.693109726441747,1.2403726042527394,1.1808442829909536,0.6002010969805864
As_num,0,M3_Core_IonRatios,SVR_RBF,LOG1P,8,-3.6256527190439503,0.6011481669903742,0.5751626024240464,0.6257415691925263
As_num,0,M3_Core_IonRatios,HuberRegressor,LOG1P,8,-3.3087584287335323,0.5801911342353878,0.5196747394756053,0.3575666109671579
As_num,0,M3_Core_IonRatios,RandomForest,LOG1P,8,-11.926767926860729,1.0049396719642478,0.7954316486414001,0.29371543043730824
As_num,0,M3_Core_IonRatios,ExtraTrees,LOG1P,8,-31.038082627062145,1.5820793928381833,1.2266404988126864,0.7279034580402857
As_num,0,M3_Core_IonRatios,GradientBoosting,LOG1P,8,-17.33006652961388,1.196677252908392,1.1290304560976474,0.8556058190999849
As_num,0,M4_Core_IonExchange,Ridge,LOG1P,6,-17.298047364113376,1.1956316114605052,1.1290011010855205,0.14047259716566918
As_num,0,M4_Core_IonExchange,Lasso,LOG1P,6,-12.52902949649864,1.0280833766848132,0.9886904963545242,0.25540472211939846
As_num,0,M4_Core_IonExchange,ElasticNet,LOG1P,6,-13.033022394976257,1.0470577226730502,0.9981533567152341,-0.02554047221193985
As_num,0,M4_Core_IonExchange,SVR_RBF,LOG1P,6,-3.0217589622783887,0.5605353859735368,0.4997916464306751,0.6257415691925263
As_num,0,M4_Core_IonExchange,HuberRegressor,LOG1P,6,-3.6227091338493596,0.6009568629132702,0.5580784982061117,0.6002010969805864
As_num,0,M4_Core_IonExchange,RandomForest,LOG1P,6,-33.23726262964438,1.6354773440635753,1.3686937336446365,0.24263448601342852
As_num,0,M4_Core_IonExchange,ExtraTrees,LOG1P,6,-29.71242424845378,1.549002306135885,1.2853487061495905,0.7917546385701353
As_num,0,M4_Core_IonExchange,GradientBoosting,LOG1P,6,-85.2973119192408,2.5965318202751675,1.832383515903357,0.2681749582253684
