,Arsenic (As),Iron (Fe),Manganese (Mn),Lead (Pb),Nickel (Ni),Zinc (Zn),Cadmium (Cd),Chromium (Cr),Copper (Cu)
Arsenic (As),0.0,0.3850129068234802,0.28780038118612367,-0.05725176152387915,0.16935160689924048,0.00833041596577486,-0.19691878412284436,-0.09195448697257833,-0.2148608331726851
Iron (Fe),0.3850129068234802,0.0,0.03489844743273523,0.2810755160778919,-0.23586601616718414,0.21676959403417798,0.2281894036268552,0.047239165113428024,-0.31669423005251446
Manganese (Mn),0.28780038118612367,0.03489844743273523,0.0,-0.36702329913129006,0.2559986467295423,0.01682440467470145,-0.3327860937469647,-0.15855184735250438,-0.09023918371337708
Lead (Pb),-0.05725176152387915,0.2810755160778919,-0.36702329913129006,0.0,-0.43877130530564096,0.053720467955878516,0.703764140519295,0.42488124802062177,0.24060780562414755
Nickel (Ni),0.16935160689924048,-0.23586601616718414,0.2559986467295423,-0.43877130530564096,0.0,0.3332397734679533,-0.27167013095958986,-0.23911275518361702,0.13707087322450526
Zinc (Zn),0.00833041596577486,0.21676959403417798,0.01682440467470145,0.053720467955878516,0.3332397734679533,0.0,0.3469615554757027,-0.05268650507303017,0.033276393144917926
Cadmium (Cd),-0.19691878412284436,0.2281894036268552,-0.3327860937469647,0.703764140519295,-0.27167013095958986,0.3469615554757027,0.0,0.30639035727457214,0.2271766191844641
Chromium (Cr),-0.09195448697257833,0.047239165113428024,-0.15855184735250438,0.42488124802062177,-0.23911275518361702,-0.05268650507303017,0.30639035727457214,0.0,0.4899570936695278
Copper (Cu),-0.2148608331726851,-0.31669423005251446,-0.09023918371337708,0.24060780562414755,0.13707087322450526,0.033276393144917926,0.2271766191844641,0.4899570936695278,0.0
