n_clusters,silhouette_score,stability_verdict
2,0.373,UNSTABLE_EXPLORATORY_ONLY
3,0.2871,UNSTABLE_EXPLORATORY_ONLY
4,0.3118,UNSTABLE_EXPLORATORY_ONLY
